date,window_unique_count,window_change,window_up_streak,window_down_streak,phase,reconstruction_version
2024-09-24,0,0,0,0,waiting,formula33-research-v1
2024-09-25,1,1,1,0,waiting,formula33-research-v1
2024-09-26,1,0,0,0,waiting,formula33-research-v1
2024-09-27,2,1,1,0,waiting,formula33-research-v1
2024-09-30,5,3,2,0,waiting,formula33-research-v1
2024-10-08,6,1,3,0,watch,formula33-research-v1
2024-10-09,9,3,4,0,watch,formula33-research-v1
2024-10-10,9,0,0,0,watch,formula33-research-v1
2024-10-11,9,0,0,0,watch,formula33-research-v1
2024-10-14,9,0,0,0,watch,formula33-research-v1
2024-10-15,9,0,0,0,watch,formula33-research-v1
2024-10-16,9,0,0,0,watch,formula33-research-v1
2024-10-17,9,0,0,0,watch,formula33-research-v1
2024-10-18,9,0,0,0,watch,formula33-research-v1
2024-10-21,9,0,0,0,watch,formula33-research-v1
2024-10-22,9,0,0,0,watch,formula33-research-v1
2024-10-23,9,0,0,0,watch,formula33-research-v1
2024-10-24,9,0,0,0,watch,formula33-research-v1
2024-10-25,9,0,0,0,watch,formula33-research-v1
2024-10-28,9,0,0,0,watch,formula33-research-v1
2024-10-29,9,0,0,0,watch,formula33-research-v1
2024-10-30,10,1,1,0,watch,formula33-research-v1
2024-10-31,10,0,0,0,watch,formula33-research-v1
2024-11-01,10,0,0,0,watch,formula33-research-v1
2024-11-04,10,0,0,0,watch,formula33-research-v1
2024-11-05,8,-2,0,1,watch,formula33-research-v1
2024-11-06,5,-3,0,2,watch,formula33-research-v1
2024-11-07,2,-3,0,3,watch,formula33-research-v1
2024-11-08,4,2,1,0,watch,formula33-research-v1
2024-11-11,4,0,0,0,watch,formula33-research-v1
2024-11-12,4,0,0,0,watch,formula33-research-v1
2024-11-13,4,0,0,0,watch,formula33-research-v1
2024-11-14,4,0,0,0,watch,formula33-research-v1
2024-11-15,4,0,0,0,watch,formula33-research-v1
2024-11-18,4,0,0,0,watch,formula33-research-v1
2024-11-19,4,0,0,0,watch,formula33-research-v1
2024-11-20,4,0,0,0,watch,formula33-research-v1
2024-11-21,4,0,0,0,watch,formula33-research-v1
2024-11-22,4,0,0,0,watch,formula33-research-v1
2024-11-25,4,0,0,0,watch,formula33-research-v1
2024-11-26,4,0,0,0,watch,formula33-research-v1
2024-11-27,4,0,0,0,watch,formula33-research-v1
2024-11-28,4,0,0,0,watch,formula33-research-v1
2024-11-29,3,-1,0,1,watch,formula33-research-v1
2024-12-02,3,0,0,0,watch,formula33-research-v1
2024-12-03,3,0,0,0,watch,formula33-research-v1
2024-12-04,2,-1,0,1,watch,formula33-research-v1
2024-12-05,2,0,0,0,watch,formula33-research-v1
2024-12-06,2,0,0,0,watch,formula33-research-v1
2024-12-09,1,-1,0,1,watch,formula33-research-v1
2024-12-10,1,0,0,0,watch,formula33-research-v1
2024-12-11,0,-1,0,1,watch,formula33-research-v1
2024-12-12,0,0,0,0,watch,formula33-research-v1
2024-12-13,0,0,0,0,watch,formula33-research-v1
2024-12-16,0,0,0,0,watch,formula33-research-v1
2024-12-17,0,0,0,0,watch,formula33-research-v1
2024-12-18,0,0,0,0,watch,formula33-research-v1
2024-12-19,0,0,0,0,watch,formula33-research-v1
2024-12-20,0,0,0,0,watch,formula33-research-v1
2024-12-23,0,0,0,0,watch,formula33-research-v1
2024-12-24,0,0,0,0,watch,formula33-research-v1
2024-12-25,0,0,0,0,watch,formula33-research-v1
2024-12-26,0,0,0,0,watch,formula33-research-v1
2024-12-27,0,0,0,0,watch,formula33-research-v1
2024-12-30,1,1,1,0,watch,formula33-research-v1
2024-12-31,1,0,0,0,watch,formula33-research-v1
2025-01-02,1,0,0,0,watch,formula33-research-v1
2025-01-03,1,0,0,0,watch,formula33-research-v1
2025-01-06,1,0,0,0,watch,formula33-research-v1
2025-01-07,1,0,0,0,watch,formula33-research-v1
2025-01-08,1,0,0,0,watch,formula33-research-v1
2025-01-09,1,0,0,0,watch,formula33-research-v1
2025-01-10,1,0,0,0,watch,formula33-research-v1
2025-01-13,1,0,0,0,watch,formula33-research-v1
2025-01-14,1,0,0,0,watch,formula33-research-v1
2025-01-15,1,0,0,0,watch,formula33-research-v1
2025-01-16,1,0,0,0,watch,formula33-research-v1
2025-01-17,2,1,1,0,watch,formula33-research-v1
2025-01-20,2,0,0,0,watch,formula33-research-v1
2025-01-21,2,0,0,0,watch,formula33-research-v1
2025-01-22,3,1,1,0,watch,formula33-research-v1
2025-01-23,3,0,0,0,watch,formula33-research-v1
2025-01-24,3,0,0,0,watch,formula33-research-v1
2025-01-27,4,1,1,0,watch,formula33-research-v1
2025-02-05,5,1,2,0,watch,formula33-research-v1
2025-02-06,4,-1,0,1,watch,formula33-research-v1
2025-02-07,4,0,0,0,watch,formula33-research-v1
2025-02-10,4,0,0,0,watch,formula33-research-v1
2025-02-11,5,1,1,0,watch,formula33-research-v1
2025-02-12,7,2,2,0,watch,formula33-research-v1
2025-02-13,8,1,3,0,watch,formula33-research-v1
2025-02-14,8,0,0,0,watch,formula33-research-v1
2025-02-17,8,0,0,0,watch,formula33-research-v1
2025-02-18,8,0,0,0,watch,formula33-research-v1
2025-02-19,8,0,0,0,watch,formula33-research-v1
2025-02-20,8,0,0,0,watch,formula33-research-v1
2025-02-21,8,0,0,0,watch,formula33-research-v1
2025-02-24,8,0,0,0,watch,formula33-research-v1
2025-02-25,8,0,0,0,watch,formula33-research-v1
2025-02-26,8,0,0,0,watch,formula33-research-v1
2025-02-27,7,-1,0,1,watch,formula33-research-v1
2025-02-28,7,0,0,0,watch,formula33-research-v1
2025-03-03,7,0,0,0,watch,formula33-research-v1
2025-03-04,7,0,0,0,watch,formula33-research-v1
2025-03-05,6,-1,0,1,watch,formula33-research-v1
2025-03-06,6,0,0,0,watch,formula33-research-v1
2025-03-07,6,0,0,0,watch,formula33-research-v1
2025-03-10,5,-1,0,1,watch,formula33-research-v1
2025-03-11,6,1,1,0,watch,formula33-research-v1
2025-03-12,20,14,2,0,watch,formula33-research-v1
2025-03-13,25,5,3,0,watch,formula33-research-v1
2025-03-14,39,14,4,0,watch,formula33-research-v1
2025-03-17,56,17,5,0,active,formula33-research-v1
2025-03-18,60,4,6,0,active,formula33-research-v1
2025-03-19,74,14,7,0,active,formula33-research-v1
2025-03-20,93,19,8,0,active,formula33-research-v1
2025-03-21,108,15,9,0,active,formula33-research-v1
2025-03-24,109,1,10,0,active,formula33-research-v1
2025-03-25,115,6,11,0,active,formula33-research-v1
2025-03-26,118,3,12,0,active,formula33-research-v1
2025-03-27,119,1,13,0,active,formula33-research-v1
2025-03-28,122,3,14,0,active,formula33-research-v1
2025-03-31,124,2,15,0,active,formula33-research-v1
2025-04-01,125,1,16,0,active,formula33-research-v1
2025-04-02,126,1,17,0,active,formula33-research-v1
2025-04-03,127,1,18,0,active,formula33-research-v1
2025-04-07,128,1,19,0,active,formula33-research-v1
2025-04-08,128,0,0,0,active,formula33-research-v1
2025-04-09,129,1,1,0,active,formula33-research-v1
2025-04-10,130,1,2,0,active,formula33-research-v1
2025-04-11,124,-6,0,1,active,formula33-research-v1
2025-04-14,121,-3,0,2,active,formula33-research-v1
2025-04-15,117,-4,0,3,active,formula33-research-v1
2025-04-16,108,-9,0,4,active,formula33-research-v1
2025-04-17,96,-12,0,5,exited,formula33-research-v1
2025-04-18,84,-12,0,6,exited,formula33-research-v1
2025-04-21,68,-16,0,7,exited,formula33-research-v1
2025-04-22,59,-9,0,8,exited,formula33-research-v1
2025-04-23,61,2,1,0,exited,formula33-research-v1
2025-04-24,56,-5,0,1,exited,formula33-research-v1
2025-04-25,50,-6,0,2,exited,formula33-research-v1
2025-04-28,56,6,1,0,exited,formula33-research-v1
2025-04-29,58,2,2,0,exited,formula33-research-v1
2025-04-30,58,0,0,0,exited,formula33-research-v1
2025-05-06,64,6,1,0,exited,formula33-research-v1
2025-05-07,70,6,2,0,exited,formula33-research-v1
2025-05-08,94,24,3,0,watch,formula33-research-v1
2025-05-09,116,22,4,0,watch,formula33-research-v1
2025-05-12,178,62,5,0,active,formula33-research-v1
2025-05-13,198,20,6,0,active,formula33-research-v1
2025-05-14,214,16,7,0,active,formula33-research-v1
2025-05-15,226,12,8,0,active,formula33-research-v1
2025-05-16,236,10,9,0,active,formula33-research-v1
2025-05-19,242,6,10,0,active,formula33-research-v1
2025-05-20,245,3,11,0,active,formula33-research-v1
2025-05-21,260,15,12,0,active,formula33-research-v1
2025-05-22,262,2,13,0,active,formula33-research-v1
2025-05-23,263,1,14,0,active,formula33-research-v1
2025-05-26,262,-1,0,1,active,formula33-research-v1
2025-05-27,267,5,1,0,active,formula33-research-v1
2025-05-28,264,-3,0,1,active,formula33-research-v1
2025-05-29,260,-4,0,2,active,formula33-research-v1
2025-05-30,266,6,1,0,active,formula33-research-v1
2025-06-03,267,1,2,0,active,formula33-research-v1
2025-06-04,272,5,3,0,active,formula33-research-v1
2025-06-05,275,3,4,0,active,formula33-research-v1
2025-06-06,277,2,5,0,active,formula33-research-v1
2025-06-09,266,-11,0,1,active,formula33-research-v1
2025-06-10,267,1,1,0,active,formula33-research-v1
2025-06-11,238,-29,0,1,active,formula33-research-v1
2025-06-12,199,-39,0,2,active,formula33-research-v1
2025-06-13,191,-8,0,3,active,formula33-research-v1
2025-06-16,192,1,1,0,active,formula33-research-v1
2025-06-17,187,-5,0,1,active,formula33-research-v1
2025-06-18,179,-8,0,2,active,formula33-research-v1
2025-06-19,166,-13,0,3,active,formula33-research-v1
2025-06-20,148,-18,0,4,active,formula33-research-v1
2025-06-23,140,-8,0,5,exited,formula33-research-v1
2025-06-24,138,-2,0,6,exited,formula33-research-v1
2025-06-25,140,2,1,0,exited,formula33-research-v1
2025-06-26,145,5,2,0,exited,formula33-research-v1
2025-06-27,143,-2,0,1,exited,formula33-research-v1
2025-06-30,143,0,0,0,exited,formula33-research-v1
2025-07-01,144,1,1,0,exited,formula33-research-v1
2025-07-02,143,-1,0,1,exited,formula33-research-v1
2025-07-03,139,-4,0,2,exited,formula33-research-v1
2025-07-04,149,10,1,0,exited,formula33-research-v1
2025-07-07,163,14,2,0,exited,formula33-research-v1
2025-07-08,174,11,3,0,watch,formula33-research-v1
2025-07-09,192,18,4,0,watch,formula33-research-v1
2025-07-10,193,1,5,0,active,formula33-research-v1
2025-07-11,216,23,6,0,active,formula33-research-v1
2025-07-14,224,8,7,0,active,formula33-research-v1
2025-07-15,224,0,0,0,active,formula33-research-v1
2025-07-16,226,2,1,0,active,formula33-research-v1
2025-07-17,229,3,2,0,active,formula33-research-v1
2025-07-18,238,9,3,0,active,formula33-research-v1
2025-07-21,242,4,4,0,active,formula33-research-v1
2025-07-22,249,7,5,0,active,formula33-research-v1
2025-07-23,258,9,6,0,active,formula33-research-v1
2025-07-24,266,8,7,0,active,formula33-research-v1
2025-07-25,267,1,8,0,active,formula33-research-v1
2025-07-28,284,17,9,0,active,formula33-research-v1
2025-07-29,289,5,10,0,active,formula33-research-v1
2025-07-30,310,21,11,0,active,formula33-research-v1
2025-07-31,313,3,12,0,active,formula33-research-v1
2025-08-01,313,0,0,0,active,formula33-research-v1
2025-08-04,314,1,1,0,active,formula33-research-v1
2025-08-05,310,-4,0,1,active,formula33-research-v1
2025-08-06,299,-11,0,2,active,formula33-research-v1
2025-08-07,288,-11,0,3,active,formula33-research-v1
2025-08-08,285,-3,0,4,active,formula33-research-v1
2025-08-11,289,4,1,0,active,formula33-research-v1
2025-08-12,270,-19,0,1,active,formula33-research-v1
2025-08-13,275,5,1,0,active,formula33-research-v1
2025-08-14,278,3,2,0,active,formula33-research-v1
2025-08-15,290,12,3,0,active,formula33-research-v1
2025-08-18,293,3,4,0,active,formula33-research-v1
2025-08-19,292,-1,0,1,active,formula33-research-v1
2025-08-20,276,-16,0,2,active,formula33-research-v1
2025-08-21,287,11,1,0,active,formula33-research-v1
2025-08-22,285,-2,0,1,active,formula33-research-v1
2025-08-25,285,0,0,0,active,formula33-research-v1
2025-08-26,297,12,1,0,active,formula33-research-v1
2025-08-27,271,-26,0,1,active,formula33-research-v1
2025-08-28,252,-19,0,2,active,formula33-research-v1
2025-08-29,243,-9,0,3,active,formula33-research-v1
2025-09-01,245,2,1,0,active,formula33-research-v1
2025-09-02,243,-2,0,1,active,formula33-research-v1
2025-09-03,242,-1,0,2,active,formula33-research-v1
2025-09-04,239,-3,0,3,active,formula33-research-v1
2025-09-05,238,-1,0,4,active,formula33-research-v1
2025-09-08,236,-2,0,5,exited,formula33-research-v1
2025-09-09,223,-13,0,6,exited,formula33-research-v1
2025-09-10,214,-9,0,7,exited,formula33-research-v1
2025-09-11,197,-17,0,8,exited,formula33-research-v1
2025-09-12,194,-3,0,9,exited,formula33-research-v1
2025-09-15,192,-2,0,10,exited,formula33-research-v1
2025-09-16,182,-10,0,11,exited,formula33-research-v1
2025-09-17,180,-2,0,12,exited,formula33-research-v1
2025-09-18,170,-10,0,13,exited,formula33-research-v1
2025-09-19,172,2,1,0,exited,formula33-research-v1
2025-09-22,170,-2,0,1,exited,formula33-research-v1
2025-09-23,159,-11,0,2,exited,formula33-research-v1
2025-09-24,125,-34,0,3,exited,formula33-research-v1
2025-09-25,132,7,1,0,exited,formula33-research-v1
2025-09-26,130,-2,0,1,exited,formula33-research-v1
2025-09-29,132,2,1,0,exited,formula33-research-v1
2025-09-30,128,-4,0,1,exited,formula33-research-v1
2025-10-09,124,-4,0,2,exited,formula33-research-v1
2025-10-10,119,-5,0,3,exited,formula33-research-v1
2025-10-13,129,10,1,0,exited,formula33-research-v1
2025-10-14,130,1,2,0,exited,formula33-research-v1
2025-10-15,134,4,3,0,watch,formula33-research-v1
2025-10-16,137,3,4,0,watch,formula33-research-v1
2025-10-17,143,6,5,0,active,formula33-research-v1
2025-10-20,138,-5,0,1,active,formula33-research-v1
2025-10-21,142,4,1,0,active,formula33-research-v1
2025-10-22,147,5,2,0,active,formula33-research-v1
2025-10-23,150,3,3,0,active,formula33-research-v1
2025-10-24,141,-9,0,1,active,formula33-research-v1
2025-10-27,136,-5,0,2,active,formula33-research-v1
2025-10-28,134,-2,0,3,active,formula33-research-v1
2025-10-29,138,4,1,0,active,formula33-research-v1
2025-10-30,142,4,2,0,active,formula33-research-v1
2025-10-31,135,-7,0,1,active,formula33-research-v1
2025-11-03,132,-3,0,2,active,formula33-research-v1
2025-11-04,134,2,1,0,active,formula33-research-v1
2025-11-05,140,6,2,0,active,formula33-research-v1
2025-11-06,147,7,3,0,active,formula33-research-v1
2025-11-07,163,16,4,0,active,formula33-research-v1
2025-11-10,170,7,5,0,active,formula33-research-v1
2025-11-11,175,5,6,0,active,formula33-research-v1
2025-11-12,186,11,7,0,active,formula33-research-v1
2025-11-13,213,27,8,0,active,formula33-research-v1
2025-11-14,233,20,9,0,active,formula33-research-v1
2025-11-17,245,12,10,0,active,formula33-research-v1
2025-11-18,247,2,11,0,active,formula33-research-v1
2025-11-19,243,-4,0,1,active,formula33-research-v1
2025-11-20,241,-2,0,2,active,formula33-research-v1
2025-11-21,233,-8,0,3,active,formula33-research-v1
2025-11-24,227,-6,0,4,active,formula33-research-v1
2025-11-25,221,-6,0,5,exited,formula33-research-v1
2025-11-26,212,-9,0,6,exited,formula33-research-v1
2025-11-27,205,-7,0,7,exited,formula33-research-v1
2025-11-28,201,-4,0,8,exited,formula33-research-v1
2025-12-01,199,-2,0,9,exited,formula33-research-v1
2025-12-02,198,-1,0,10,exited,formula33-research-v1
2025-12-03,195,-3,0,11,exited,formula33-research-v1
2025-12-04,196,1,1,0,exited,formula33-research-v1
2025-12-05,193,-3,0,1,exited,formula33-research-v1
2025-12-08,181,-12,0,2,exited,formula33-research-v1
2025-12-09,176,-5,0,3,exited,formula33-research-v1
2025-12-10,159,-17,0,4,exited,formula33-research-v1
2025-12-11,159,0,0,0,exited,formula33-research-v1
2025-12-12,139,-20,0,1,exited,formula33-research-v1
2025-12-15,120,-19,0,2,exited,formula33-research-v1
2025-12-16,85,-35,0,3,exited,formula33-research-v1
2025-12-17,76,-9,0,4,exited,formula33-research-v1
2025-12-18,75,-1,0,5,exited,formula33-research-v1
2025-12-19,73,-2,0,6,exited,formula33-research-v1
2025-12-22,72,-1,0,7,exited,formula33-research-v1
2025-12-23,74,2,1,0,exited,formula33-research-v1
2025-12-24,80,6,2,0,exited,formula33-research-v1
2025-12-25,84,4,3,0,watch,formula33-research-v1
2025-12-26,96,12,4,0,watch,formula33-research-v1
2025-12-29,99,3,5,0,active,formula33-research-v1
2025-12-30,107,8,6,0,active,formula33-research-v1
2025-12-31,112,5,7,0,active,formula33-research-v1
2026-01-05,123,11,8,0,active,formula33-research-v1
2026-01-06,136,13,9,0,active,formula33-research-v1
2026-01-07,147,11,10,0,active,formula33-research-v1
2026-01-08,161,14,11,0,active,formula33-research-v1
2026-01-09,195,34,12,0,active,formula33-research-v1
2026-01-12,233,38,13,0,active,formula33-research-v1
2026-01-13,245,12,14,0,active,formula33-research-v1
2026-01-14,249,4,15,0,active,formula33-research-v1
2026-01-15,268,19,16,0,active,formula33-research-v1
2026-01-16,281,13,17,0,active,formula33-research-v1
2026-01-19,281,0,0,0,active,formula33-research-v1
2026-01-20,291,10,1,0,active,formula33-research-v1
2026-01-21,313,22,2,0,active,formula33-research-v1
2026-01-22,330,17,3,0,active,formula33-research-v1
2026-01-23,395,65,4,0,active,formula33-research-v1
2026-01-26,428,33,5,0,active,formula33-research-v1
2026-01-27,451,23,6,0,active,formula33-research-v1
2026-01-28,455,4,7,0,active,formula33-research-v1
2026-01-29,460,5,8,0,active,formula33-research-v1
2026-01-30,465,5,9,0,active,formula33-research-v1
2026-02-02,460,-5,0,1,active,formula33-research-v1
2026-02-03,459,-1,0,2,active,formula33-research-v1
2026-02-04,452,-7,0,3,active,formula33-research-v1
2026-02-05,442,-10,0,4,active,formula33-research-v1
2026-02-06,433,-9,0,5,exited,formula33-research-v1
2026-02-09,432,-1,0,6,exited,formula33-research-v1
2026-02-10,382,-50,0,7,exited,formula33-research-v1
2026-02-11,363,-19,0,8,exited,formula33-research-v1
2026-02-12,344,-19,0,9,exited,formula33-research-v1
2026-02-13,323,-21,0,10,exited,formula33-research-v1
2026-02-24,312,-11,0,11,exited,formula33-research-v1
2026-02-25,299,-13,0,12,exited,formula33-research-v1
2026-02-26,302,3,1,0,exited,formula33-research-v1
2026-02-27,299,-3,0,1,exited,formula33-research-v1
2026-03-02,305,6,1,0,exited,formula33-research-v1
2026-03-03,239,-66,0,1,exited,formula33-research-v1
2026-03-04,203,-36,0,2,exited,formula33-research-v1
2026-03-05,184,-19,0,3,exited,formula33-research-v1
2026-03-06,160,-24,0,4,exited,formula33-research-v1
2026-03-09,148,-12,0,5,exited,formula33-research-v1
2026-03-10,122,-26,0,6,exited,formula33-research-v1
2026-03-11,136,14,1,0,exited,formula33-research-v1
2026-03-12,146,10,2,0,exited,formula33-research-v1
2026-03-13,148,2,3,0,watch,formula33-research-v1
2026-03-16,149,1,4,0,watch,formula33-research-v1
2026-03-17,150,1,5,0,active,formula33-research-v1
2026-03-18,146,-4,0,1,active,formula33-research-v1
2026-03-19,145,-1,0,2,active,formula33-research-v1
2026-03-20,142,-3,0,3,active,formula33-research-v1
2026-03-23,133,-9,0,4,active,formula33-research-v1
2026-03-24,133,0,0,0,active,formula33-research-v1
2026-03-25,132,-1,0,1,active,formula33-research-v1
2026-03-26,128,-4,0,2,active,formula33-research-v1
2026-03-27,124,-4,0,3,active,formula33-research-v1
2026-03-30,107,-17,0,4,active,formula33-research-v1
2026-03-31,87,-20,0,5,exited,formula33-research-v1
2026-04-01,84,-3,0,6,exited,formula33-research-v1
2026-04-02,82,-2,0,7,exited,formula33-research-v1
2026-04-03,80,-2,0,8,exited,formula33-research-v1
2026-04-07,79,-1,0,9,exited,formula33-research-v1
2026-04-08,79,0,0,0,exited,formula33-research-v1
2026-04-09,84,5,1,0,exited,formula33-research-v1
2026-04-10,79,-5,0,1,exited,formula33-research-v1
2026-04-13,62,-17,0,2,exited,formula33-research-v1
2026-04-14,65,3,1,0,exited,formula33-research-v1
2026-04-15,70,5,2,0,exited,formula33-research-v1
2026-04-16,79,9,3,0,watch,formula33-research-v1
2026-04-17,93,14,4,0,watch,formula33-research-v1
2026-04-20,116,23,5,0,active,formula33-research-v1
2026-04-21,126,10,6,0,active,formula33-research-v1
2026-04-22,156,30,7,0,active,formula33-research-v1
2026-04-23,182,26,8,0,active,formula33-research-v1
2026-04-24,192,10,9,0,active,formula33-research-v1
2026-04-27,200,8,10,0,active,formula33-research-v1
2026-04-28,208,8,11,0,active,formula33-research-v1
2026-04-29,212,4,12,0,active,formula33-research-v1
2026-04-30,223,11,13,0,active,formula33-research-v1
2026-05-06,245,22,14,0,active,formula33-research-v1
2026-05-07,252,7,15,0,active,formula33-research-v1
2026-05-08,285,33,16,0,active,formula33-research-v1
2026-05-11,331,46,17,0,active,formula33-research-v1
2026-05-12,366,35,18,0,active,formula33-research-v1
2026-05-13,424,58,19,0,active,formula33-research-v1
2026-05-14,453,29,20,0,active,formula33-research-v1
2026-05-15,479,26,21,0,active,formula33-research-v1
2026-05-18,482,3,22,0,active,formula33-research-v1
2026-05-19,490,8,23,0,active,formula33-research-v1
2026-05-20,493,3,24,0,active,formula33-research-v1
2026-05-21,488,-5,0,1,active,formula33-research-v1
2026-05-22,484,-4,0,2,active,formula33-research-v1
