date,code,name,action,price,execution_price,position_change_pct,reason,phase,realized_account_pct,execution_quantity,cost_basis,trade_side,quantity,trade_amount,commission_amount,stamp_duty_amount,slippage_amount,transaction_cost_amount,allocated_entry_fee_amount,cost_amount,gross_pnl_amount,profit_loss_amount,profit_loss_pct,cash_change_amount,requested_position_pct,cash_limited,lot_rounded,board_lot_size,selection_reason,trade_basis_score,trade_basis_reason,technical_alignment,ima_web_validation,structure_ratio,anchor_low,anchor_high,anchor_low_date,anchor_high_date
2025-05-06,sz.002311,海大集团,右侧买入,52.87,52.87,19.56,R1; 直接突破首仓; 价格突破21日收盘高点; gap_breakout,exited,-0.0114,3700.0,52.87,买入,3700.0,195619.0,16.63,0.0,97.81,114.44,0.0,,,-114.44,-0.0585,-195733.44,20.0,False,True,100.0,基本价值线模型入选；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；多周期均量扣低走高,10.0,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；多周期均量扣低走高,trade_ready,aligned,,,,,
2025-05-07,sz.002311,海大集团,突破次日未确认退出,51.83,51.83,-19.56,R1; 开盘未站上52.870; gap_stop,exited,-0.4056,-3700.0,52.87,卖出,3700.0,191771.0,16.3,95.89,95.89,208.07,114.44,195619.0,-3848.0,-4170.51,-2.1307,191562.93,,,,,,,,,,,,,,
2025-05-07,sz.002311,海大集团,右侧买入,51.06,51.06,19.91,"R2; 33未上行首仓; 上涨波段75.0%拉回支撑; 共振=MA5,MA10,MA20; intraday_cross",exited,-0.0116,3900.0,51.06,买入,3900.0,199134.0,16.93,0.0,99.57,116.49,0.0,,,-116.49,-0.0585,-199250.49,20.0,False,True,100.0,基本价值线模型入选；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.26倍；多周期均量扣低走高,12.0,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.26倍；多周期均量扣低走高,trade_ready,aligned,0.75,44.25,53.33,2025-01-08,2025-04-30
2025-05-23,sz.300926,博俊科技,右侧买入,26.65,26.65,19.99,R3; 直接突破首仓; 价格突破21日收盘高点; intraday_breakout,active,-0.0117,7500.0,26.65,买入,7500.0,199875.0,16.99,0.0,99.94,116.93,0.0,,,-116.93,-0.0585,-199991.93,20.0,False,True,100.0,基本价值线模型入选；MA20/MA60同步上扬；贴近上扬MA20支撑；量能高于5/10日基准1.72倍；多周期均量扣低走高,9.0,MA20/MA60同步上扬；贴近上扬MA20支撑；量能高于5/10日基准1.72倍；多周期均量扣低走高,trade_ready,aligned,,,,,
2025-05-26,sz.300926,博俊科技,突破次日未确认退出,26.25,26.25,-19.99,R3; 开盘未站上26.650; gap_stop,active,-0.3214,-7500.0,26.65,卖出,7500.0,196875.0,16.73,98.44,98.44,213.61,116.93,199875.0,-3000.0,-3330.54,-1.6653,196661.39,,,,,,,,,,,,,,
2025-05-26,sz.002311,海大集团,右侧买入,56.98,56.98,6.27,R4; 浮盈加仓33%; 价格突破21日收盘高点; intraday_breakout,active,-0.0037,1100.0,56.98,买入,1100.0,62678.0,5.33,0.0,31.34,36.67,0.0,,,-36.67,-0.0585,-62714.67,6.6377999999999995,False,True,100.0,基本价值线模型入选；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内,9.0,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内,trade_ready,aligned,,,,,
2025-06-05,sz.300308,中际旭创,右侧买入,97.78,97.78,19.56,R5; 直接突破首仓; 价格突破21日收盘高点; intraday_breakout,active,-0.0114,2000.0,97.78,买入,2000.0,195560.0,16.62,0.0,97.78,114.4,0.0,,,-114.4,-0.0585,-195674.4,20.0,False,True,100.0,基本价值线模型入选；MA20上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准2.18倍；多周期均量扣低走高,10.0,MA20上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准2.18倍；多周期均量扣低走高,trade_ready,aligned,,,,,
2025-06-12,sz.002311,海大集团,收盘条件退出,57.65,57.65,-6.27,R4; entry time condition; 14:55/close proxy,active,0.0668,-1100.0,56.98,卖出,1100.0,63415.0,5.39,31.71,31.71,68.81,36.67,62678.0,737.0,631.53,1.007,63346.19,,,,,,,,,,,,,,
2025-06-13,sz.002311,海大集团,右侧买入,57.605,57.605000000000004,9.79,"R6; 浮盈加仓50%; 上涨波段75.0%拉回支撑; 共振=MA5,MA10,MA20; intraday_cross",active,-0.0057,1700.0,57.605000000000004,买入,1700.0,97928.5,8.32,0.0,48.96,57.29,0.0,,,-57.29,-0.0585,-97985.79,9.9567,False,True,100.0,基本价值线模型入选；MA20/MA60同步上扬；收盘站上MA20,6.0,MA20/MA60同步上扬；收盘站上MA20,watch,aligned,0.75,46.67,61.25,2025-03-28,2025-06-04
2025-06-16,sz.002311,海大集团,收盘条件退出,56.66,56.66,-9.79,R6; condition stop; 14:55/close proxy,active,-0.1711,-1700.0,57.605000000000004,卖出,1700.0,96322.0,8.19,48.16,48.16,104.51,57.29,97928.5,-1606.5,-1768.3,-1.8046,96217.49,,,,,,,,,,,,,,
