date,code,name,action,price,execution_price,position_change_pct,reason,phase,realized_account_pct,execution_quantity,cost_basis,trade_side,quantity,trade_amount,commission_amount,stamp_duty_amount,slippage_amount,transaction_cost_amount,allocated_entry_fee_amount,cost_amount,gross_pnl_amount,profit_loss_amount,profit_loss_pct,cash_change_amount,requested_position_pct,cash_limited,lot_rounded,board_lot_size,selection_reason,trade_basis_score,trade_basis_reason,technical_alignment,ima_web_validation,structure_ratio,anchor_low,anchor_high,anchor_low_date,anchor_high_date,signal_type,anchor_pullback_low,anchor_pullback_low_date,gap_up
2024-09-25,sh.601628,中国人寿,右侧买入,36.17,36.17,19.89,R1; 直接突破首仓; 价格突破21日收盘高点; gap_breakout,waiting,-0.0116,5500.0,36.17,买入,5500.0,198935.0,16.91,0.0,99.47,116.38,0.0,,,-116.38,-0.0585,-199051.38,20.0,False,True,100.0,主流标准基本面模型入选；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.61倍；多周期均量扣低走高；基本面硬条件通过且多周期强度居前；20日强度+14.8%；60日强度+20.1%；120日强度+30.9%；距120日高点+0.0%；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.61倍；多周期均量扣低走高,12.0,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.61倍；多周期均量扣低走高,trade_ready,aligned,,,,,,,,,
2024-10-09,sz.300394,天孚通信,右侧买入,60.6,60.6,20.0,R2; 直接突破首仓; 价格突破21日收盘高点; intraday_breakout,active,-0.0117,3300.0,60.6,买入,3300.0,199980.0,17.0,0.0,99.99,116.99,0.0,,,-116.99,-0.0585,-200096.99,20.0,False,True,100.0,基本价值线模型入选；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.61倍；多周期均量扣低走高；基本面硬条件通过且多周期强度居前；20日强度+57.0%；60日强度+38.3%；120日强度+6.4%；距120日高点-0.9%；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.61倍；多周期均量扣低走高,12.0,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.61倍；多周期均量扣低走高,trade_ready,aligned,,,,,,,,,
2024-10-10,sz.300394,天孚通信,突破次日未确认退出,56.27,56.27,-20.0,R2; 开盘未站上60.600; gap_stop,active,-1.449,-3300.0,60.6,卖出,3300.0,185691.0,15.78,92.85,92.85,201.47,116.99,199980.0,-14289.0,-14607.46,-7.3002,185489.53,,,,,,,,,,,,,,,,,,
2024-10-10,sh.601628,中国人寿,右侧买入,41.67,41.67,9.58,R3; 浮盈加仓50%; 上涨波段75.0%拉回支撑; 共振=MA5; gap_or_open_fill,active,-0.0056,2300.0,41.67,买入,2300.0,95841.0,8.15,0.0,47.92,56.07,0.0,,,-56.07,-0.0585,-95897.07,9.94675,False,True,100.0,主流标准基本面模型入选；MA20/MA60同步上扬；收盘站上MA20；量能高于5/10日基准2.08倍；多周期均量扣低走高；基本面硬条件通过且多周期强度居前；20日强度+27.5%；60日强度+46.0%；120日强度+58.3%；距120日高点-10.0%；MA20/MA60同步上扬；收盘站上MA20；量能高于5/10日基准2.08倍；多周期均量扣低走高,9.0,MA20/MA60同步上扬；收盘站上MA20；量能高于5/10日基准2.08倍；多周期均量扣低走高,trade_ready,aligned,0.75,27.88,46.6,2024-08-12,2024-10-08,uptrend_support_pullback,,,
2024-10-10,sz.002371,北方华创,右侧买入,306.75,306.75,18.4,R4; 直接突破首仓; 价格突破21日收盘高点; gap_breakout,active,-0.0108,600.0,306.75,买入,600.0,184050.0,15.64,0.0,92.03,107.67,0.0,,,-107.67,-0.0585,-184157.67,20.0,False,True,100.0,基本面硬条件通过且多周期强度居前；20日强度+31.7%；60日强度+27.9%；120日强度+35.7%；距120日高点+0.0%；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准2.27倍；多周期均量扣低走高,12.0,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准2.27倍；多周期均量扣低走高,trade_ready,aligned,,,,,,,,,
2024-10-11,sz.002371,北方华创,突破次日未确认退出,280.69,280.69,-18.4,R4; 开盘未站上299.000; gap_stop,active,-1.5819,-600.0,306.75,卖出,600.0,168414.0,14.32,84.21,84.21,182.73,107.67,184050.0,-15636.0,-15926.4,-8.6482,168231.27,,,,,,,,,,,,,,,,,,
2024-10-11,sh.601628,中国人寿,收盘条件退出,41.11,41.11,-9.58,R3; condition stop; 14:55/close proxy,active,-0.1391,-2300.0,41.67,卖出,2300.0,94553.0,8.04,47.28,47.28,102.59,56.07,95841.0,-1288.0,-1446.66,-1.5086,94450.41,,,,,,,,,,,,,,,,,,
2024-10-11,sh.605499,东鹏饮料,右侧买入,162.68,162.68,19.52,R5; 直接突破首仓; 价格突破21日收盘高点; intraday_breakout,active,-0.0114,1200.0,162.68,买入,1200.0,195216.0,16.59,0.0,97.61,114.2,0.0,,,-114.2,-0.0585,-195330.2,20.0,False,True,100.0,基本面硬条件通过且多周期强度居前；20日强度+21.5%；60日强度+36.3%；120日强度+52.5%；距120日高点-0.5%；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；多周期均量扣低走高,10.0,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；多周期均量扣低走高,trade_ready,aligned,,,,,,,,,
2024-10-15,sh.605499,东鹏饮料,收盘条件退出,162.47,162.47,-19.52,R5; condition stop; 14:55/close proxy,active,-0.0464,-1200.0,162.68,卖出,1200.0,194964.0,16.57,97.48,97.48,211.54,114.2,195216.0,-252.0,-577.74,-0.2958,194752.46,,,,,,,,,,,,,,,,,,
2024-10-15,sh.601628,中国人寿,右侧买入,41.64,41.64,9.58,R6; 浮盈加仓50%; 上涨波段75.0%拉回支撑; 共振=MA5; gap_or_open_fill,active,-0.0056,2300.0,41.64,买入,2300.0,95772.0,8.14,0.0,47.89,56.03,0.0,,,-56.03,-0.0585,-95828.03,9.94675,False,True,100.0,主流标准基本面模型入选；MA20/MA60同步上扬；收盘站上MA20；多周期均量扣低走高；基本面硬条件通过且多周期强度居前；20日强度+29.0%；60日强度+42.7%；120日强度+68.2%；距120日高点-9.1%；MA20/MA60同步上扬；收盘站上MA20；多周期均量扣低走高,7.0,MA20/MA60同步上扬；收盘站上MA20；多周期均量扣低走高,trade_ready,aligned,0.75,29.67,46.6,2023-07-21,2024-10-08,uptrend_support_pullback,,,
2024-10-15,sh.688578,艾力斯,右侧买入,53.165,53.16499999999999,19.14,R7; 33未三日下行首仓; 回调波段50%向上突破; intraday_breakout,active,-0.0112,3600.0,53.16499999999999,买入,3600.0,191394.0,16.27,0.0,95.7,111.97,0.0,,,-111.97,-0.0585,-191505.97,20.0,False,True,200.0,基本价值线模型入选；MA20上扬；收盘站上MA20；多周期均量扣低走高,5.0,MA20上扬；收盘站上MA20；多周期均量扣低走高,watch,aligned,0.5,27.82,67.07,2023-09-08,2024-05-07,pullback_50_breakout,39.26,2024-09-23,False
2024-10-16,sh.688578,艾力斯,突破次日未确认退出,49.78,49.78,-19.14,R7; 开盘未站上53.165; gap_stop,active,-1.238,-3600.0,53.16499999999999,卖出,3600.0,179208.0,15.23,89.6,89.6,194.44,111.97,191394.0,-12186.0,-12492.41,-6.5232,179013.56,,,,,,,,,,,,,,,,,,
2024-10-16,sh.601628,中国人寿,收盘条件退出,41.34,41.34,-9.58,R6; condition stop; 14:55/close proxy,active,-0.0793,-2300.0,41.64,卖出,2300.0,95082.0,8.08,47.54,47.54,103.16,56.03,95772.0,-690.0,-849.19,-0.8862,94978.84,,,,,,,,,,,,,,,,,,
