date,equity,cash,cash_pct,gross_exposure_pct,capacity_position_count,total_held_symbol_count,left_side_symbol_count,right_market_left_side_symbol_count,profit_tail_count,candidate_count
2026-01-05,1.0,1000000.0,100.0,0.0,0,0,0,0,0,0
2026-01-06,1.0,1000000.0,100.0,0.0,0,0,0,0,0,65
2026-01-07,1.0,1000000.0,100.0,0.0,0,0,0,0,0,65
2026-01-08,1.0,1000000.0,100.0,0.0,0,0,0,0,0,81
2026-01-09,1.0,1000000.0,100.0,0.0,0,0,0,0,0,76
2026-01-12,0.9998263579600001,703002.35796,70.3124,29.68,1,1,0,0,0,80
2026-01-13,0.981551461475,700595.461475,71.3763,28.02,1,1,0,0,0,74
2026-01-14,0.972260384875,972260.384875,100.0,0.0,0,0,0,0,0,72
2026-01-15,0.972260384875,972260.384875,100.0,0.0,0,0,0,0,0,74
2026-01-16,0.972260384875,972260.384875,100.0,0.0,0,0,0,0,0,78
2026-01-19,0.972260384875,972260.384875,100.0,0.0,0,0,0,0,0,88
2026-01-20,0.9720859601049999,673923.960105,69.3276,29.82,1,1,0,0,0,91
2026-01-21,1.001325960105,673923.960105,67.3032,29.82,1,1,0,0,0,89
2026-01-22,0.992295960105,673923.960105,67.9156,29.82,1,1,0,0,0,88
2026-01-23,1.004937960105,673923.960105,67.0613,29.82,1,1,0,0,0,87
2026-01-26,1.0437963961206602,557202.3961206601,53.3823,41.48,2,2,1,1,0,76
2026-01-27,1.0354623961206602,557202.3961206601,53.8119,41.48,2,2,1,1,0,70
2026-01-28,1.0798980034893957,283632.0034893957,26.2647,68.92,3,3,1,1,0,88
2026-01-29,1.1077880034893957,283632.0034893957,25.6035,68.92,3,3,1,1,0,84
2026-01-30,1.0257334577893957,637667.4577893957,62.167,33.65,2,2,1,1,0,79
2026-02-02,0.9908994832893957,614414.4832893957,62.0057,36.62,2,2,1,1,0,87
2026-02-03,1.0016367177643957,681406.7177643958,68.0293,30.73,2,2,1,1,0,63
2026-02-04,0.9960293647093958,769194.3647093958,77.2261,21.86,2,2,1,1,0,68
2026-02-05,0.9858470035693957,831211.0035693957,84.3144,15.97,2,2,1,1,0,68
2026-02-06,0.9860293284693957,897199.3284693958,90.9911,9.73,1,1,1,1,0,63
2026-02-09,0.9879893284693958,897199.3284693958,90.8106,9.73,1,1,1,0,0,65
2026-02-10,0.9869393284693958,897199.3284693958,90.9072,9.73,1,1,1,0,0,62
2026-02-11,0.9926093284693958,897199.3284693958,90.388,9.73,1,1,1,0,0,69
2026-02-12,0.9928893284693957,897199.3284693958,90.3625,9.73,1,1,1,0,0,67
2026-02-13,0.9909993284693958,897199.3284693958,90.5348,9.73,1,1,1,0,0,72
2026-02-24,0.9932393284693958,897199.3284693958,90.3306,9.73,1,1,1,0,0,71
2026-02-25,0.9952693284693958,897199.3284693958,90.1464,9.73,1,1,1,0,0,66
2026-02-26,0.9968093284693957,897199.3284693958,90.0071,9.73,1,1,1,0,0,73
2026-02-27,0.9983849253443958,598899.9253443958,59.9869,39.54,2,2,1,0,0,76
2026-03-02,1.0272049253443958,598899.9253443958,58.3038,39.54,2,2,1,0,0,74
2026-03-03,0.9903714003443957,657361.4003443958,66.3752,33.58,2,2,1,0,0,74
2026-03-04,0.9913614003443958,657361.4003443958,66.309,33.58,2,2,1,0,0,63
2026-03-05,0.9861860818443957,883216.0818443957,89.5588,9.73,1,1,1,0,0,62
2026-03-06,0.9824060818443957,883216.0818443957,89.9034,9.73,1,1,1,0,0,63
2026-03-09,0.9823360818443957,883216.0818443957,89.9098,9.73,1,1,1,0,0,55
2026-03-10,0.9810060818443957,883216.0818443957,90.0317,9.73,1,1,1,0,0,54
2026-03-11,0.9818460818443957,883216.0818443957,89.9546,9.73,1,1,1,0,0,58
2026-03-12,0.9825460818443957,883216.0818443957,89.8906,9.73,1,1,1,0,0,57
2026-03-13,0.9782060818443957,883216.0818443957,90.2894,9.73,1,1,1,0,0,56
2026-03-16,0.9788942792818958,583378.2792818957,59.5956,39.7,2,2,1,1,0,56
2026-03-17,0.9639087446368957,874798.7446368957,90.7553,9.73,1,1,1,1,0,57
2026-03-18,0.9613187446368957,874798.7446368957,90.9999,9.73,1,1,1,1,0,54
2026-03-19,0.9555087446368957,874798.7446368957,91.5532,9.73,1,1,1,1,0,54
2026-03-20,0.9533387446368957,874798.7446368957,91.7616,9.73,1,1,1,1,0,52
2026-03-23,0.9482287446368958,874798.7446368957,92.2561,9.73,1,1,1,1,0,48
2026-03-24,0.9516587446368957,874798.7446368957,91.9236,9.73,1,1,1,1,0,41
2026-03-25,0.9527436751968957,575359.6751968957,60.3898,39.66,2,2,1,1,0,43
2026-03-26,0.9488971263968957,872317.1263968957,91.9296,9.73,1,1,1,1,0,43
2026-03-27,0.9519771263968957,872317.1263968957,91.6322,9.73,1,1,1,1,0,44
2026-03-30,0.9562471263968957,872317.1263968957,91.223,9.73,1,1,1,1,0,45
2026-03-31,0.9533771263968958,872317.1263968957,91.4976,9.73,1,1,1,1,0,57
2026-04-01,0.9537971263968957,872317.1263968957,91.4573,9.73,1,1,1,0,0,58
2026-04-02,0.9528871263968958,872317.1263968957,91.5446,9.73,1,1,1,0,0,60
2026-04-03,0.9498771263968957,872317.1263968957,91.8347,9.73,1,1,1,0,0,54
2026-04-07,0.9508571263968958,872317.1263968957,91.7401,9.73,1,1,1,0,0,49
2026-04-08,0.9553371263968957,872317.1263968957,91.3099,9.73,1,1,1,0,0,51
2026-04-09,0.9576471263968958,872317.1263968957,91.0896,9.73,1,1,1,0,0,69
2026-04-10,0.9560371263968958,872317.1263968957,91.243,9.73,1,1,1,0,0,69
2026-04-13,0.9643671263968957,872317.1263968957,90.4549,9.73,1,1,1,0,0,75
2026-04-14,0.9645531789768957,591901.1789768958,61.3653,37.76,2,2,1,0,0,74
2026-04-15,0.9514911789768957,591901.1789768958,62.2077,37.76,2,2,1,0,0,74
2026-04-16,0.9677591789768958,591901.1789768958,61.162,37.76,2,2,1,0,0,73
2026-04-17,0.9746891789768958,591901.1789768958,60.7272,37.76,2,2,1,1,0,74
2026-04-20,0.9614171789768957,591901.1789768958,61.5655,37.76,2,2,1,1,0,74
2026-04-21,0.9608431789768958,591901.1789768958,61.6023,37.76,2,2,1,1,0,63
2026-04-22,0.9681791789768958,591901.1789768958,61.1355,37.76,2,2,1,1,0,66
2026-04-23,0.9725331789768957,591901.1789768958,60.8618,37.76,2,2,1,1,0,76
2026-04-24,0.9729905709768958,633462.5709768957,65.1047,33.75,2,2,1,1,0,72
2026-04-27,0.9805545709768958,633462.5709768957,64.6025,33.75,2,2,1,1,0,73
2026-04-28,0.9833585709768957,633462.5709768957,64.4183,33.75,2,2,1,1,0,72
2026-04-29,0.9959145709768957,633462.5709768957,63.6061,33.75,2,2,1,1,0,71
2026-04-30,1.0067745709768958,633462.5709768957,62.92,33.75,2,2,1,1,0,74
2026-05-06,1.0074885709768957,633462.5709768957,62.8754,33.75,2,2,1,1,0,190
2026-05-07,1.0094145709768958,633462.5709768957,62.7554,33.75,2,2,1,1,0,184
2026-05-08,0.9978585709768958,633462.5709768957,63.4822,33.75,2,2,1,1,0,194
2026-05-11,1.0202585709768957,633462.5709768957,62.0884,33.75,2,2,1,1,0,191
2026-05-12,1.0237545709768958,633462.5709768957,61.8764,33.75,2,2,1,1,0,191
2026-05-13,1.0452145709768959,633462.5709768957,60.606,33.75,2,2,1,1,0,188
2026-05-14,1.0408585709768958,633462.5709768957,60.8596,33.75,2,2,1,1,0,192
2026-05-15,1.0478925709768958,633462.5709768957,60.4511,33.75,2,2,1,1,0,186
2026-05-18,1.0474625709768957,633462.5709768957,60.4759,33.75,2,2,1,1,0,178
2026-05-19,1.0656025709768957,633462.5709768957,59.4464,33.75,2,2,1,1,0,178
2026-05-20,1.1035905709768958,633462.5709768957,57.4001,33.75,2,2,1,1,0,165
2026-05-21,1.0636553249768956,691645.3249768957,65.0253,29.75,2,2,1,1,0,173
2026-05-22,1.0799553249768956,691645.3249768957,64.0439,29.75,2,2,1,1,0,169
2026-05-25,1.0871553249768957,691645.3249768957,63.6197,29.75,2,2,1,1,0,173
2026-05-26,1.0770553249768957,691645.3249768957,64.2163,29.75,2,2,1,1,0,172
2026-05-27,1.0522351349768957,746775.1349768958,70.9704,25.74,2,2,1,1,0,174
2026-05-28,1.0585476349768959,446599.63497689576,42.1898,55.74,3,3,1,1,0,168
2026-05-29,1.0353486237568958,847096.6237568958,81.8175,17.74,2,2,1,1,0,167
2026-06-01,1.0311862358568957,948726.2358568958,92.0034,9.73,1,1,1,1,0,155
2026-06-02,1.0342662358568957,948726.2358568958,91.7294,9.73,1,1,1,1,0,164
2026-06-03,1.0334262358568957,948726.2358568958,91.804,9.73,1,1,1,1,0,169
2026-06-04,1.0288762358568957,948726.2358568958,92.2099,9.73,1,1,1,1,0,164
2026-06-05,1.0268462358568957,948726.2358568958,92.3922,9.73,1,1,1,0,0,155
2026-06-08,1.0217362358568958,948726.2358568958,92.8543,9.73,1,1,1,0,0,150
2026-06-09,1.0230662358568958,948726.2358568958,92.7336,9.73,1,1,1,0,0,140
2026-06-10,1.0225762358568957,948726.2358568958,92.778,9.73,1,1,1,0,0,147
2026-06-11,1.0227862358568958,948726.2358568958,92.759,9.73,1,1,1,0,0,141
2026-06-12,1.0287362358568959,948726.2358568958,92.2225,9.73,1,1,1,0,0,145
2026-06-15,1.029856235856896,948726.2358568958,92.1222,9.73,1,1,1,0,0,139
2026-06-16,1.0259362358568958,948726.2358568958,92.4742,9.73,1,1,1,0,0,164
2026-06-17,1.0255162358568959,948726.2358568958,92.5121,9.73,1,1,1,0,0,165
2026-06-18,1.0259362358568958,948726.2358568958,92.4742,9.73,1,1,1,0,0,160
2026-06-22,1.0336362358568958,948726.2358568958,91.7853,9.73,1,1,1,0,0,166
2026-06-23,1.0295062358568958,948726.2358568958,92.1535,9.73,1,1,1,0,0,164
2026-06-24,1.0327262358568958,948726.2358568958,91.8662,9.73,1,1,1,0,0,157
2026-06-25,1.0285262358568958,948726.2358568958,92.2413,9.73,1,1,1,1,0,161
