date,code,name,action,price,execution_price,position_change_pct,reason,phase,realized_account_pct,execution_quantity,cost_basis,trade_side,quantity,trade_amount,commission_amount,stamp_duty_amount,slippage_amount,transaction_cost_amount,allocated_entry_fee_amount,cost_amount,gross_pnl_amount,profit_loss_amount,profit_loss_pct,cash_change_amount,requested_position_pct,cash_limited,lot_rounded,board_lot_size,selection_reason,trade_basis_score,trade_basis_reason,technical_alignment,ima_web_validation,structure_ratio,anchor_low,anchor_high,anchor_pullback_low,anchor_low_date,anchor_high_date,anchor_pullback_low_date,signal_type,gap_up,entry_evidence_score,entry_evidence,industry_tags,grid_slot,value_line,account_mode
2026-01-12,sh.688018,乐鑫科技,右侧买入,134.92,134.92,29.68,R1; 33未三日下行首仓; 回调波段50%收盘放量向上突破; 跳空向上加分; close_confirmed,active,-0.0174,2200.0,134.92,买入,2200.0,296824.0,25.23,0.0,148.41,173.64,0.0,,,-173.64,-0.0585,-296997.64,30.0,False,True,200.0,主流标准基本面模型入选；MA20上扬；收盘站上MA20；候选观察：接近21日收盘高点（非买点）；多周期均量扣低走高,8.0,MA20上扬；收盘站上MA20；候选观察：接近21日收盘高点（非买点）；多周期均量扣低走高,trade_ready,aligned,0.5,60.34,160.67,105.54,2024-11-18,2025-09-01,2025-11-21,pullback_50_breakout,True,14.0,"['primary:pullback_50_breakout+5', 'volume_confirmed+1', 'volume_expanded_1_3x+1', 'entry_within_structure_zone', 'entry_tight_to_structure+1', 'close_above_rising_or_reclaimed_ma20+1', 'entry_near_or_reclaims_ma20+2', 'large_wave_structure+2', 'gap_up+1']",半导体,,,
2026-01-13,sh.688018,乐鑫科技,收盘条件退出,126.5,126.5,-29.68,R1; condition stop; 14:55/close proxy,active,-1.8826,-2200.0,134.92,卖出,2200.0,278300.0,23.66,139.15,139.15,301.96,173.64,296824.0,-18524.0,-18999.6,-6.3972,277998.04,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-13,sh.688002,睿创微纳,右侧买入,107.785,107.785,28.02,R2; 33未三日下行首仓; 连阳波段一半拉回; 一半位置止损; intraday_cross,active,-0.0164,2600.0,107.785,买入,2600.0,280241.0,23.82,0.0,140.12,163.94,0.0,,,-163.94,-0.0585,-280404.94,30.0,False,True,200.0,主流标准基本面模型入选；MA20/MA60同步上扬；收盘站上MA20；候选观察：接近21日收盘高点（非买点）；量能高于5/10日基准1.98倍；多周期均量扣低走高；基本面硬条件通过且多周期强度居前；20日强度+32.7%；60日强度+42.4%；120日强度+73.1%；距120日高点+0.0%；MA20/MA60同步上扬；收盘站上MA20；候选观察：接近21日收盘高点（非买点）；量能高于5/10日基准1.98倍；多周期均量扣低走高,12.0,MA20/MA60同步上扬；收盘站上MA20；候选观察：接近21日收盘高点（非买点）；量能高于5/10日基准1.98倍；多周期均量扣低走高,trade_ready,aligned,,,,,,,,bull_run_half_pullback,,9.0,"['primary:bull_run_half_pullback+3', 'volume_confirmed+1', 'volume_expanded_1_3x+1', 'entry_within_structure_zone', 'entry_tight_to_structure+1', 'close_above_rising_or_reclaimed_ma20+1', 'ma20_ma60_rising_alignment+2']",军工电子,,,
2026-01-14,sh.688002,睿创微纳,收盘条件退出,104.6,104.6,-28.02,R2; condition stop; 14:55/close proxy,active,-0.8576,-2600.0,107.785,卖出,2600.0,271960.0,23.12,135.98,135.98,295.08,163.94,280241.0,-8281.0,-8740.02,-3.1169,271664.92,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-20,sh.600988,赤峰黄金,右侧买入,34.67,34.67,29.82,R3; 33未三日下行首仓; 整理平台收盘放量突破; 平台上沿止损; close_confirmed,active,-0.0174,8600.0,34.67,买入,8600.0,298162.0,25.34,0.0,149.08,174.42,0.0,,,-174.42,-0.0585,-298336.42,30.0,False,True,100.0,主流标准基本面模型入选；MA20/MA60同步上扬；收盘站上MA20；候选观察：接近21日收盘高点（非买点）；多周期均量扣低走高,10.0,MA20/MA60同步上扬；收盘站上MA20；候选观察：接近21日收盘高点（非买点）；多周期均量扣低走高,trade_ready,aligned,,,,,,,,consolidation_breakout,,11.0,"['primary:consolidation_breakout+4', 'volume_confirmed+1', 'volume_expanded_1_3x+1', 'entry_within_structure_zone', 'close_above_rising_or_reclaimed_ma20+1', 'entry_near_or_reclaims_ma20+2', 'ma20_ma60_rising_alignment+2']",贵金属,,,
2026-01-26,sz.000612,焦作万方,左侧网格买入,13.9,13.9,1.95,L1; 价值线网格第1份; gap_or_open_fill,active,-0.0015,1400.0,13.9,买入,1400.0,19460.0,5.0,0.0,9.73,14.73,0.0,,,-14.73,-0.0757,-19474.73,2.0,False,True,100.0,,,,,,,,,,,,,,,,,,0.0,14.536276211022166,left
2026-01-26,sz.000612,焦作万方,左侧网格买入,13.9,13.9,1.95,L2; 价值线网格第2份; gap_or_open_fill,active,-0.0015,1400.0,13.9,买入,1400.0,19460.0,5.0,0.0,9.73,14.73,0.0,,,-14.73,-0.0757,-19474.73,2.0,False,True,100.0,,,,,,,,,,,,,,,,,,1.0,14.536276211022166,left
2026-01-26,sz.000612,焦作万方,左侧网格买入,13.9,13.9,1.95,L3; 价值线网格第3份; gap_or_open_fill,active,-0.0015,1400.0,13.9,买入,1400.0,19460.0,5.0,0.0,9.73,14.73,0.0,,,-14.73,-0.0757,-19474.73,2.0,False,True,100.0,,,,,,,,,,,,,,,,,,2.0,14.536276211022166,left
2026-01-26,sz.000612,焦作万方,左侧网格买入,13.9,13.9,1.95,L4; 价值线网格第4份; gap_or_open_fill,active,-0.0015,1400.0,13.9,买入,1400.0,19460.0,5.0,0.0,9.73,14.73,0.0,,,-14.73,-0.0757,-19474.73,2.0,False,True,100.0,,,,,,,,,,,,,,,,,,3.0,14.536276211022166,left
2026-01-26,sz.000612,焦作万方,左侧网格买入,13.9,13.9,1.95,L5; 价值线网格第5份; gap_or_open_fill,active,-0.0015,1400.0,13.9,买入,1400.0,19460.0,5.0,0.0,9.73,14.73,0.0,,,-14.73,-0.0757,-19474.73,2.0,False,True,100.0,,,,,,,,,,,,,,,,,,4.0,14.536276211022166,left
2026-01-26,sz.000612,焦作万方,左侧网格买入,13.809,13.809462400471057,1.93,L6; 价值线网格第6份; intraday_cross,active,-0.0015,1400.0,13.809462400471057,买入,1400.0,19333.25,5.0,0.0,9.67,14.67,0.0,,,-14.67,-0.0759,-19347.91,2.0,False,True,100.0,,,,,,,,,,,,,,,,,,5.0,14.536276211022166,left
