序号,日期,股票,代码,买卖,操作摘要,交易结果,成交价,数量(股),成交金额(元),手续费税费滑点(元),买卖理由,本次已实现盈亏(元),本次收益率(%),交易后持股(股),持仓状态,现金变化(元),选股理由,买卖依据对照,结构比例,锚点低/高,锚点日期
1,2026-01-12,乐鑫科技,sh.688018,买入,"买入乐鑫科技(sh.688018) 2200股，成交价134.92，成交金额296,824.00元，现金-296,997.64元，交易后持股2200股",建仓成本173.64元,134.92,2200,296824.0,173.64,33未三日下行首仓；回调波段50%收盘放量向上突破；跳空向上加分；close_confirmed,-173.64,,2200,持有2200股,-296997.64,主流标准基本面模型入选；MA20上扬；收盘站上MA20；候选观察：接近21日收盘高点（非买点）；多周期均量扣低走高,MA20上扬；收盘站上MA20；候选观察：接近21日收盘高点（非买点）；多周期均量扣低走高,0.5,60.34 / 160.67,2024-11-18 → 2025-09-01
2,2026-01-13,乐鑫科技,sh.688018,卖出,"卖出乐鑫科技(sh.688018) 2200股，成交价126.5，成交金额278,300.00元，现金+277,998.04元，本次亏损-18,999.60元，收益率-6.40%，清仓","亏损-18,999.60元 (-6.40%)",126.5,2200,278300.0,301.96,收盘条件止损；14:55收盘代理价成交,-18999.6,-6.3972,0,清仓,277998.04,,,,,
3,2026-01-13,睿创微纳,sh.688002,买入,"买入睿创微纳(sh.688002) 2600股，成交价107.785，成交金额280,241.00元，现金-280,404.94元，交易后持股2600股",建仓成本163.94元,107.785,2600,280241.0,163.94,33未三日下行首仓；连阳波段一半拉回；一半位置止损；盘中触及结构位成交,-163.94,,2600,持有2600股,-280404.94,主流标准基本面模型入选；MA20/MA60同步上扬；收盘站上MA20；候选观察：接近21日收盘高点（非买点）；量能高于5/10日基准1.98倍；多周期均量扣低走高；基本面硬条件通过且多周期强度居前；20日强度+32.7%；60日强度+42.4%；120日强度+73.1%；距120日高点+0.0%；MA20/MA60同步上扬；收盘站上MA20；候选观察：接近21日收盘高点（非买点）；量能高于5/10日基准1.98倍；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；候选观察：接近21日收盘高点（非买点）；量能高于5/10日基准1.98倍；多周期均量扣低走高,,,
4,2026-01-14,睿创微纳,sh.688002,卖出,"卖出睿创微纳(sh.688002) 2600股，成交价104.6，成交金额271,960.00元，现金+271,664.92元，本次亏损-8,740.02元，收益率-3.12%，清仓","亏损-8,740.02元 (-3.12%)",104.6,2600,271960.0,295.08,收盘条件止损；14:55收盘代理价成交,-8740.02,-3.1169,0,清仓,271664.92,,,,,
5,2026-01-20,赤峰黄金,sh.600988,买入,"买入赤峰黄金(sh.600988) 8600股，成交价34.67，成交金额298,162.00元，现金-298,336.42元，交易后持股8600股",建仓成本174.42元,34.67,8600,298162.0,174.42,33未三日下行首仓；整理平台收盘放量突破；平台上沿止损；close_confirmed,-174.42,,8600,持有8600股,-298336.42,主流标准基本面模型入选；MA20/MA60同步上扬；收盘站上MA20；候选观察：接近21日收盘高点（非买点）；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；候选观察：接近21日收盘高点（非买点）；多周期均量扣低走高,,,
6,2026-01-26,焦作万方,sz.000612,买入,"买入焦作万方(sz.000612) 1400股，成交价13.9，成交金额19,460.00元，现金-19,474.73元，交易后持股1400股",建仓成本14.73元,13.9,1400,19460.0,14.73,L1；价值线网格第1份；开盘已触发成交,-14.73,,1400,持有1400股,-19474.73,,,,,
7,2026-01-26,焦作万方,sz.000612,买入,"买入焦作万方(sz.000612) 1400股，成交价13.9，成交金额19,460.00元，现金-19,474.73元，交易后持股2800股",建仓成本14.73元,13.9,1400,19460.0,14.73,L2；价值线网格第2份；开盘已触发成交,-14.73,,2800,持有2800股,-19474.73,,,,,
8,2026-01-26,焦作万方,sz.000612,买入,"买入焦作万方(sz.000612) 1400股，成交价13.9，成交金额19,460.00元，现金-19,474.73元，交易后持股4200股",建仓成本14.73元,13.9,1400,19460.0,14.73,L3；价值线网格第3份；开盘已触发成交,-14.73,,4200,持有4200股,-19474.73,,,,,
9,2026-01-26,焦作万方,sz.000612,买入,"买入焦作万方(sz.000612) 1400股，成交价13.9，成交金额19,460.00元，现金-19,474.73元，交易后持股5600股",建仓成本14.73元,13.9,1400,19460.0,14.73,L4；价值线网格第4份；开盘已触发成交,-14.73,,5600,持有5600股,-19474.73,,,,,
10,2026-01-26,焦作万方,sz.000612,买入,"买入焦作万方(sz.000612) 1400股，成交价13.9，成交金额19,460.00元，现金-19,474.73元，交易后持股7000股",建仓成本14.73元,13.9,1400,19460.0,14.73,L5；价值线网格第5份；开盘已触发成交,-14.73,,7000,持有7000股,-19474.73,,,,,
