date,equity,cash,cash_pct,gross_exposure_pct,capacity_position_count,total_held_symbol_count,left_side_symbol_count,right_market_left_side_symbol_count,profit_tail_count,candidate_count
2024-09-24,1.0,1000000.0,100.0,0.0,0,0,0,0,0,0
2024-09-25,0.9927156621551497,692352.6621551497,69.7433,30.74,3,3,3,0,0,10
2024-09-26,1.0021447741551497,666558.7741551497,66.5132,33.32,3,3,3,0,0,10
2024-09-27,1.01662383641441,739822.8364144099,72.7725,26.46,3,3,3,0,0,10
2024-09-30,1.0382990284144098,961349.0284144097,92.5888,6.3,1,1,1,1,0,10
2024-10-08,1.0535145580144096,662934.5580144097,62.926,36.12,2,2,1,1,0,10
2024-10-09,1.0140140210144097,679450.0210144097,67.006,34.83,2,2,1,1,0,10
2024-10-10,1.0105286645344098,945848.6645344098,93.5994,5.01,1,1,1,1,0,10
2024-10-11,1.0093086645344098,945848.6645344098,93.7125,5.01,1,1,1,1,0,10
2024-10-14,1.0102486645344098,945848.6645344098,93.6253,5.01,1,1,1,1,0,10
2024-10-15,1.0085766645344099,945848.6645344098,93.7805,5.01,1,1,1,1,0,10
2024-10-16,1.0049408865344096,960606.8865344097,95.5884,3.72,0,1,1,1,0,10
2024-10-17,1.0054778865344096,960606.8865344097,95.5373,3.72,0,1,1,1,0,10
2024-10-18,1.0105230579944098,666711.0579944097,65.9768,33.09,1,2,1,1,0,10
2024-10-21,0.9977219447744098,948536.9447744098,95.0703,3.72,0,1,1,1,0,10
2024-10-22,0.9990470625344098,649418.0625344098,65.0038,33.62,1,2,1,1,0,10
2024-10-23,0.9720591858944099,925502.1858944099,95.2105,3.72,0,1,1,1,0,10
2024-10-24,0.97216896774441,630939.9677444099,64.9002,33.16,1,2,1,1,0,10
2024-10-25,0.9796419677444099,630939.9677444099,64.4052,33.16,1,2,1,1,0,10
2024-10-28,0.9836229677444099,630939.9677444099,64.1445,33.16,1,2,1,1,0,10
2024-10-29,0.9783639677444099,630939.9677444099,64.4893,33.16,1,2,1,1,0,10
2024-10-30,0.9718959677444099,630939.9677444099,64.9185,33.16,1,2,1,1,0,10
2024-10-31,0.9652239677444099,630939.9677444099,65.3672,33.16,1,2,1,1,0,10
2024-11-01,0.9563529677444099,630939.9677444099,65.9735,33.16,1,2,1,1,0,10
2024-11-04,0.9664329677444098,630939.9677444099,65.2854,33.16,1,2,1,1,0,10
2024-11-05,0.9795759677444099,630939.9677444099,64.4095,33.16,1,2,1,1,0,10
2024-11-06,0.9747279677444101,630939.9677444099,64.7299,33.16,1,2,1,1,0,10
2024-11-07,0.9847839677444099,630939.9677444099,64.0689,33.16,1,2,1,1,0,10
2024-11-08,0.9863139677444099,630939.9677444099,63.9695,33.16,1,2,1,1,0,10
2024-11-11,0.9694108800494099,689942.8800494099,71.1714,27.27,1,2,1,1,0,10
2024-11-12,0.9675958800494099,689942.8800494099,71.3049,27.27,1,2,1,1,0,10
2024-11-13,0.97950588004941,689942.8800494099,70.4378,27.27,1,2,1,1,0,10
2024-11-14,0.96251388004941,689942.8800494099,71.6813,27.27,1,2,1,1,0,10
2024-11-15,0.94356270258141,901673.70258141,95.5605,3.72,0,1,1,1,0,10
2024-11-18,0.94103070258141,901673.70258141,95.8177,3.72,0,1,1,1,0,10
2024-11-19,0.94186170258141,901673.70258141,95.7331,3.72,0,1,1,1,0,10
2024-11-20,0.94285770258141,901673.70258141,95.632,3.72,0,1,1,1,0,10
2024-11-21,0.9415647025814099,901673.70258141,95.7633,3.72,0,1,1,1,0,10
2024-11-22,0.94111170258141,901673.70258141,95.8094,3.72,0,1,1,1,0,10
2024-11-25,0.9387699263414099,606156.9263414099,64.5693,33.26,1,2,1,1,0,10
2024-11-26,0.9316479263414099,606156.9263414099,65.0629,33.26,1,2,1,1,0,10
2024-11-27,0.93645192634141,606156.9263414099,64.7291,33.26,1,2,1,1,0,10
2024-11-28,0.9347228821249933,391062.88212499337,41.8373,54.75,3,4,3,0,0,10
2024-11-29,0.9487608821249933,391062.88212499337,41.2183,54.75,3,4,3,0,0,10
2024-12-02,0.9612982409521581,491051.2409521582,51.0821,45.18,3,4,3,0,0,10
2024-12-03,0.9602232409521582,491051.2409521582,51.1393,45.18,3,4,3,0,0,10
2024-12-04,0.9545207628296144,471513.76282961445,49.398,47.14,3,4,3,0,0,10
2024-12-05,0.9645937628296145,471513.76282961445,48.8821,47.14,3,4,3,0,0,10
2024-12-06,0.967797280031519,414661.28003151907,42.8459,53.15,3,5,4,0,0,10
2024-12-09,0.978427280031519,414661.28003151907,42.3804,53.15,3,5,4,0,0,10
2024-12-10,0.979359215031519,435700.21503151907,44.4883,51.17,3,5,4,0,0,10
2024-12-11,0.9863612150315191,435700.21503151907,44.1725,51.17,3,5,4,0,0,10
2024-12-12,0.9911692150315191,435700.21503151907,43.9582,51.17,3,5,4,0,0,10
2024-12-13,0.983092746418704,415795.7464187041,42.2947,53.16,3,5,4,0,0,10
2024-12-16,0.9655537464187041,415795.7464187041,43.0629,53.16,3,5,4,0,0,10
2024-12-17,0.9707087464187041,415795.7464187041,42.8342,53.16,3,5,4,0,0,10
2024-12-18,0.971413746418704,415795.7464187041,42.8032,53.16,3,5,4,0,0,10
2024-12-19,0.9602243184187045,674894.3184187044,70.2851,27.45,1,2,1,1,0,10
2024-12-20,0.9654623184187044,674894.3184187044,69.9037,27.45,1,2,1,1,0,10
2024-12-23,0.9665603184187045,674894.3184187044,69.8243,27.45,1,2,1,1,0,10
2024-12-24,0.9684263184187044,674894.3184187044,69.6898,27.45,1,2,1,1,0,10
2024-12-25,0.9723143184187044,674894.3184187044,69.4111,27.45,1,2,1,1,0,10
2024-12-26,0.9881333184187044,674894.3184187044,68.2999,27.45,1,2,1,1,0,10
2024-12-27,0.9878093184187045,674894.3184187044,68.3223,27.45,1,2,1,1,0,10
2024-12-30,0.9780203184187044,674894.3184187044,69.0062,27.45,1,2,1,1,0,10
2024-12-31,0.9763613184187044,674894.3184187044,69.1234,27.45,1,2,1,1,0,10
2025-01-02,0.9577439384887044,735086.9384887044,76.7519,21.65,1,2,1,1,0,10
2025-01-03,0.9504999384887044,735086.9384887044,77.3369,21.65,1,2,1,1,0,10
2025-01-06,0.9484159384887044,735086.9384887044,77.5068,21.65,1,2,1,1,0,10
2025-01-07,0.9615759384887044,735086.9384887044,76.4461,21.65,1,2,1,1,0,10
2025-01-08,0.9607879384887044,735086.9384887044,76.5088,21.65,1,2,1,1,0,10
2025-01-09,0.9552870209887045,545107.0209887045,57.0621,40.64,3,4,3,0,0,10
2025-01-10,0.9533390809842526,526776.0809842526,55.2559,42.47,3,4,3,0,0,10
2025-01-13,0.9528144379800234,509361.4379800234,53.4586,44.21,3,4,3,0,0,10
2025-01-14,0.9675554379800234,509361.4379800234,52.6442,44.21,3,4,3,0,0,10
2025-01-15,0.9580064379800235,509361.4379800234,53.1689,44.21,3,4,3,0,0,10
2025-01-16,0.9729910637653857,567131.0637653857,58.2874,38.74,3,4,3,0,0,10
2025-01-17,0.9814445037653856,418114.5037653856,42.602,53.87,3,5,4,0,0,10
2025-01-20,0.9908985037653856,418114.5037653856,42.1955,53.87,3,5,4,0,0,10
