date,equity,cash,cash_pct,gross_exposure_pct,capacity_position_count,total_held_symbol_count,left_side_symbol_count,right_market_left_side_symbol_count,profit_tail_count,candidate_count
2024-09-24,1.0,1000000.0,100.0,0.0,0,0,0,0,0,0
2024-09-25,0.996981595642716,923301.595642716,92.6097,7.66,1,1,1,0,0,54
2024-09-26,0.9986975956427161,923301.595642716,92.4506,7.66,1,1,1,0,0,51
2024-09-27,1.0063576460719743,950669.6460719744,94.4664,5.11,1,1,1,0,0,55
2024-09-30,1.0146959200719743,965375.9200719744,95.1394,3.84,0,1,1,1,0,68
2024-10-08,1.0375100828769743,666334.0828769744,64.2243,33.72,1,2,1,1,0,102
2024-10-09,1.0039418755569745,955611.8755569744,95.186,3.84,0,1,1,1,0,113
2024-10-10,1.0029086241819745,655861.6241819744,65.396,33.79,1,2,1,1,0,87
2024-10-11,1.0078516241819744,655861.6241819744,65.0752,33.79,1,2,1,1,0,84
2024-10-14,1.0077276241819744,655861.6241819744,65.0832,33.79,1,2,1,1,0,71
2024-10-15,0.9940975709069744,947759.5709069744,95.3387,3.84,0,1,1,1,0,78
2024-10-16,0.9933835709069744,947759.5709069744,95.4072,3.84,0,1,1,1,0,66
2024-10-17,0.9925855709069744,947759.5709069744,95.4839,3.84,0,1,1,1,0,72
2024-10-18,0.9976435709069744,947759.5709069744,94.9998,3.84,0,1,1,1,0,67
2024-10-21,0.9988075709069744,947759.5709069744,94.8891,3.84,0,1,1,1,0,82
2024-10-22,0.9988675709069744,947759.5709069744,94.8834,3.84,0,1,1,1,0,77
2024-10-23,1.0198521405194745,651979.1405194744,63.9288,33.4,1,2,1,1,0,86
2024-10-24,1.0474611405194745,651979.1405194744,62.2438,33.4,1,2,1,1,0,89
2024-10-25,1.0573461405194744,651979.1405194744,61.6618,33.4,1,2,1,1,0,90
2024-10-28,1.0619891111194746,508255.1111194744,47.8588,47.76,1,2,1,1,0,92
2024-10-29,1.0561176566194743,575881.6566194744,54.5282,42.18,1,2,1,1,0,95
2024-10-30,1.0512156566194744,575881.6566194744,54.7824,42.18,1,2,1,1,0,73
2024-10-31,1.0405219870344744,711834.9870344744,68.4113,27.82,1,2,1,1,0,75
2024-11-01,1.0301806570344743,386519.6570344743,37.5196,61.04,2,3,1,1,0,90
2024-11-04,1.0394661986344742,685235.1986344743,65.9218,31.06,1,2,1,1,0,66
2024-11-05,1.0518493111294742,386107.3111294743,36.7075,60.96,2,3,1,1,0,62
2024-11-06,1.0510813111294743,386107.3111294743,36.7343,60.96,2,3,1,1,0,62
2024-11-07,1.0735523111294742,386107.3111294743,35.9654,60.96,2,3,1,1,0,73
2024-11-08,1.0827363111294743,386107.3111294743,35.6603,60.96,2,3,1,1,0,75
2024-11-11,1.0870553111294743,386107.3111294743,35.5186,60.96,2,3,1,1,0,89
2024-11-12,1.0802623664294742,256211.36642947432,23.7175,73.94,2,3,1,1,0,93
2024-11-13,1.0995431218694742,106988.12186947431,9.7302,88.85,2,3,1,1,0,101
2024-11-14,1.0555068308094744,377929.83080947434,35.8055,60.96,2,3,1,1,0,97
2024-11-15,1.0219498375894744,587833.8375894744,57.5208,39.87,2,3,1,1,0,80
2024-11-18,0.9940232829844744,766952.2829844744,77.1564,21.91,1,2,1,1,0,57
2024-11-19,0.9996562829844744,766952.2829844744,76.7216,21.91,1,2,1,1,0,50
2024-11-20,1.0015382829844743,766952.2829844744,76.5774,21.91,1,2,1,1,0,60
2024-11-21,1.0027182829844745,766952.2829844744,76.4873,21.91,1,2,1,1,0,61
2024-11-22,0.9990994441344745,496984.44413447444,49.7432,48.89,2,3,1,1,0,64
2024-11-25,0.9898619589844744,754294.9589844744,76.202,21.91,1,2,1,1,0,48
2024-11-26,0.9799389589844745,754294.9589844744,76.9737,21.91,1,2,1,1,0,54
2024-11-27,0.9918549589844744,754294.9589844744,76.0489,21.91,1,2,1,1,0,48
2024-11-28,0.9876349589844744,754294.9589844744,76.3739,21.91,1,2,1,0,0,51
2024-11-29,0.9930639589844744,754294.9589844744,75.9563,21.91,1,2,1,0,0,52
2024-12-02,0.9922449589844744,754294.9589844744,76.019,21.91,1,2,1,0,0,60
2024-12-03,0.9914279589844744,754294.9589844744,76.0817,21.91,1,2,1,0,0,62
2024-12-04,0.9832869589844744,754294.9589844744,76.7116,21.91,1,2,1,0,0,55
2024-12-05,0.9830539589844745,754294.9589844744,76.7298,21.91,1,2,1,0,0,56
2024-12-06,0.9841843388244745,455624.3388244744,46.2946,51.76,2,3,1,0,0,52
2024-12-09,0.9760353388244745,455624.3388244744,46.6811,51.76,2,3,1,0,0,61
2024-12-10,0.9833713388244745,455624.3388244744,46.3329,51.76,2,3,1,0,0,51
2024-12-11,0.9812603388244745,455624.3388244744,46.4326,51.76,2,3,1,0,0,52
2024-12-12,0.9839603388244745,455624.3388244744,46.3052,51.76,2,3,1,0,0,50
2024-12-13,0.9729281369044743,747659.1369044743,76.8463,21.91,1,2,1,0,0,54
2024-12-16,0.9675931369044743,747659.1369044743,77.27,21.91,1,2,1,0,0,52
2024-12-17,0.9676341369044743,747659.1369044743,77.2667,21.91,1,2,1,0,0,56
2024-12-18,0.9674951369044743,747659.1369044743,77.2778,21.91,1,2,1,0,0,55
2024-12-19,0.9698365080844744,452394.50808447436,46.6465,51.42,2,3,1,1,0,57
2024-12-20,0.9827665080844744,452394.50808447436,46.0328,51.42,2,3,1,1,0,61
2024-12-23,0.9801075080844743,452394.50808447436,46.1576,51.42,2,3,1,1,0,69
2024-12-24,0.9794345080844744,452394.50808447436,46.1894,51.42,2,3,1,1,0,63
2024-12-25,0.9716434526544744,622767.4526544744,64.0942,33.34,1,2,1,1,0,67
2024-12-26,0.9718294526544744,622767.4526544744,64.082,33.34,1,2,1,1,0,62
2024-12-27,0.9863554526544744,622767.4526544744,63.1382,33.34,1,2,1,1,0,63
2024-12-30,0.9898310540075612,596007.0540075612,60.213,36.02,2,2,1,1,0,60
2024-12-31,0.9920009578859619,610024.9578859619,61.4944,34.68,2,2,1,1,0,56
2025-01-02,0.9909548028259618,469506.80282596184,47.3792,48.73,2,2,1,1,0,43
2025-01-03,1.0141491448259619,456179.14482596185,44.9815,50.06,2,2,1,1,0,49
2025-01-06,0.9870730487043625,470197.0487043625,47.6355,48.73,2,2,1,1,0,48
2025-01-07,0.9998450487043625,470197.0487043625,47.027,48.73,2,2,1,1,0,45
2025-01-08,0.9942368493809058,456816.84938090586,45.9465,50.06,2,2,1,1,0,46
2025-01-09,0.9951227532593065,470834.7532593065,47.3142,48.73,2,2,1,0,0,50
2025-01-10,1.0131945539358498,457454.55393584986,45.1497,50.06,2,2,1,0,0,48
2025-01-13,1.0134452477258498,604121.2477258499,59.6106,36.02,2,2,1,0,0,46
2025-01-14,1.0266951516042506,618139.1516042505,60.2067,34.68,2,2,1,0,0,44
2025-01-15,1.0248931516042505,618139.1516042505,60.3125,34.68,2,2,1,0,0,47
2025-01-16,1.0375111516042506,618139.1516042505,59.579,34.68,2,2,1,0,0,46
2025-01-17,1.0599491516042505,618139.1516042505,58.3178,34.68,2,2,1,0,0,46
2025-01-20,1.0652971516042506,618139.1516042505,58.025,34.68,2,2,1,0,0,49
2025-01-21,1.0692016691542505,317993.6691542505,29.7412,64.68,3,3,1,0,0,52
2025-01-22,1.0624146691542504,317993.6691542505,29.9312,64.68,3,3,1,0,0,53
