code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,eps_excl,eps_excl_raw,eps_adjustment_factor,eps_excl_source,current_valuation,low_avg,pepb_ratio,valuation_percentile,selection_bucket,valuation_state,total_score,selection_mode,theme_momentum_score,buy_close_raw,end_close_raw,buy_close_qfq,end_close_qfq,raw_return,qfq_return,earnings_yoy
sh.600183,生益科技,C39计算机、通信和其他电子设备制造业,AI算力/CPO,VALUE,基本价值线,54.87,50.0,0.0,72.8,100.0,93.0,0.0,95.0,0.0,"AI算力/CPO右侧动量, 20/60日涨幅=33.5%/97.7%, 相对60日=83.7%, 量能20/120=1.83, 市值=1294.5亿",0.33471174896618816,0.9772972972972973,1294.5429023474112,17.019357297290142,3.2239760316176285,0.71,0.71,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,95.0,54.87,98.95,54.48014865,98.95,0.8033533807180611,0.8162578930481683,
sh.600330,天通股份,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,10.05,50.0,0.0,15.0,100.0,76.3,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=28.0%/45.2%, 相对60日=31.2%, 量能20/120=2.90, 市值=117.6亿",0.28025477707006385,0.45231213872832376,117.612788652,6.509288283530647,1.5439475964565619,0.01,0.01,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,95.0,10.05,30.08,10.05,30.08,1.9930348258706463,1.9930348258706463,
sh.603019,中科曙光,C39计算机、通信和其他电子设备制造业,AI算力/CPO,VALUE,基本价值线,92.14,50.0,0.0,86.0,100.0,100.0,0.0,95.0,0.0,"AI算力/CPO右侧动量, 20/60日涨幅=32.9%/48.9%, 相对60日=34.9%, 量能20/120=2.38, 市值=1344.5亿",0.32881453706374386,0.48852988691437815,1344.5387175949002,28.815059727672498,3.1976334899460053,0.94,0.94,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,95.0,92.14,98.7,92.06518232,98.7,0.07119600607770793,0.07206652409527314,
sh.603893,瑞芯微,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,233.99,50.0,0.0,87.2,100.0,98.0,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=43.6%/56.4%, 相对60日=42.4%, 量能20/120=1.71, 市值=976.6亿",0.43587383406971036,0.5641042780748664,976.5808773480915,47.02510180154252,4.975853130259989,1.29,1.29,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,95.0,233.99,181.2,233.60485246,181.2,-0.22560793196290452,-0.22433118108697359,
sh.603920,世运电路,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,39.55,50.0,0.0,71.2,100.0,88.4,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=19.8%/49.8%, 相对60日=35.8%, 量能20/120=1.62, 市值=244.7亿",0.1984848484848485,0.49810606060606055,244.65935329358018,21.6164190221619,1.829627745439796,1.06,1.06,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,95.0,39.55,63.98,39.26875995,63.98,0.6176991150442479,0.6292849603976352,
sh.688347,华虹公司,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,85.71,50.0,0.0,16.0,100.0,93.7,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=35.8%/70.3%, 相对60日=56.3%, 量能20/120=2.96, 市值=1501.6亿",0.35832012678288416,0.7032988871224164,1501.6425391391567,25.68353351926082,3.337157635872946,0.14,0.14,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,95.0,85.71,147.8,85.71,147.8,0.7244195543110492,0.7244195543110492,
sh.688630,芯碁微装,C35专用设备制造业,半导体/电子,VALUE,基本价值线,143.0,50.0,0.0,76.2,100.0,82.6,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=24.7%/88.0%, 相对60日=74.0%, 量能20/120=2.24, 市值=188.0亿",0.24716553287981857,0.8803418803418803,188.0105496928319,31.96182788718651,4.474087042353691,1.13,1.13,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,95.0,143.0,263.61,142.608752,263.61,0.8434265734265736,0.8484840257209458,
sh.688668,鼎通科技,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,129.85,50.0,0.0,71.8,100.0,80.4,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=43.7%/129.0%, 相对60日=115.0%, 量能20/120=2.25, 市值=179.7亿",0.43734779721053796,1.2901234567901234,179.65095705372386,29.306458477510553,4.430763959406607,0.67,0.67,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,95.0,129.85,283.6,129.85,283.6,1.1840585290720065,1.1840585290720065,
sz.000063,中兴通讯,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,48.0,50.0,0.0,52.2,100.0,100.0,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=41.7%/48.0%, 相对60日=34.0%, 量能20/120=2.64, 市值=2299.2亿",0.41718334809565993,0.4796547472256474,2299.2,26.305615959890726,1.8247054192985865,1.29,1.29,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,95.0,48.0,37.51,48.0,37.51,-0.21854166666666675,-0.21854166666666675,
sz.002156,通富微电,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,34.88,50.0,0.0,55.2,100.0,98.7,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=28.7%/45.5%, 相对60日=31.5%, 量能20/120=2.49, 市值=528.4亿",0.2866101069715974,0.4545454545454546,528.3785858058928,15.167001340021006,2.299729473087242,0.41,0.41,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,95.0,34.88,58.07,34.88,58.07,0.6648509174311925,0.6648509174311925,
