code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,eps_excl,eps_excl_raw,eps_adjustment_factor,eps_excl_source,current_valuation,low_avg,pepb_ratio,valuation_percentile,selection_bucket,valuation_state,total_score,selection_mode,end_quote_time,end_quote_trade_date,buy_close_raw,end_close_raw,raw_return,qfq_return,earnings_yoy,buy_close_qfq,end_close_qfq,buy_trade_date,end_trade_date,source_layer,theme_momentum_score,relative_ret60,volume_ratio_20_120,portfolio_score,final_selected,final_rank,portfolio_profile
sz.300570,太辰光,C39计算机、通信和其他电子设备制造业,AI算力/CPO,VALUE,基本价值线,142.15,50.0,0.0,82.5,100.0,100.0,0.0,95.0,0.0,"AI算力/CPO右侧动量, 20/60日涨幅=23.8%/55.4%, 相对60日=41.4%, 量能20/120=1.85, 市值=322.5亿",0.2379169206653313,0.5538915609969393,322.5085894243091,32.71021769948324,4.3457368980532864,1.1,1.1,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,,,142.15,160.33,0.1278930706999648,0.1278930706999648,,142.15,160.33,,,theme_momentum,95.0,0.414,1.85,127.424,True,1,theme
sh.603920,世运电路,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,39.55,50.0,0.0,71.2,100.0,88.4,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=19.8%/49.8%, 相对60日=35.8%, 量能20/120=1.62, 市值=244.7亿",0.1984848484848485,0.4981060606060605,244.65935329358012,21.6164190221619,1.829627745439796,1.06,1.06,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,,,39.55,63.98,0.6176991150442479,0.6292849603976352,,39.26875995,63.98,,,theme_momentum,95.0,0.358,1.62,127.205,True,2,theme
sz.002475,立讯精密,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,45.27,50.0,0.0,78.4,100.0,100.0,0.0,94.5,0.0,"半导体/电子右侧动量, 20/60日涨幅=24.9%/41.8%, 相对60日=27.8%, 量能20/120=1.34, 市值=3247.9亿",0.2491721854304636,0.4177889132477295,3247.8602015290367,28.638463042511955,1.5807412546127075,1.63,1.63,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,94.5,主题右侧动量,,,45.27,72.9,0.6103379721669979,0.6153909149489585,,45.12839544,72.9,,,theme_momentum,94.5,0.278,1.34,126.697,True,3,theme
sh.688800,瑞可达,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,76.05,50.0,0.0,75.0,98.1,85.3,0.0,94.2,0.0,"半导体/电子右侧动量, 20/60日涨幅=13.2%/61.1%, 相对60日=47.1%, 量能20/120=2.13, 市值=155.3亿",0.1316964285714283,0.6108875238296969,155.29841005769998,30.56561018343232,2.488090358530512,0.8,0.8,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,94.2,主题右侧动量,,,76.05,144.77,0.9036160420775808,0.9036160420775808,,76.05,144.77,,,theme_momentum,94.2,0.47100000000000003,2.13,126.687,True,4,theme
sz.300684,中石科技,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,35.77,50.0,0.0,69.6,100.0,83.9,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=19.6%/56.1%, 相对60日=42.1%, 量能20/120=2.73, 市值=106.5亿",0.1955213903743315,0.5613269314709735,106.54206583813492,21.069317623159584,1.6977294015768831,0.5855,0.5855,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,,,35.77,59.39,0.6603298853788089,0.6603298853788089,,35.77,59.39,,,theme_momentum,95.0,0.42100000000000004,2.73,126.022,True,5,theme
sz.301205,联特科技,C39计算机、通信和其他电子设备制造业,AI算力/CPO,VALUE,基本价值线,118.0,50.0,0.0,33.6,100.0,79.4,0.0,95.0,0.0,"AI算力/CPO右侧动量, 20/60日涨幅=22.9%/54.3%, 相对60日=40.4%, 量能20/120=1.67, 市值=153.1亿",0.2286547271970012,0.5434924787442772,153.0931114241088,15.905267219121374,7.418925968005111,0.5442,0.5442,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,,,118.0,286.88,1.431186440677966,1.431186440677966,,118.0,286.88,,,theme_momentum,95.0,0.40399999999999997,1.67,125.97,True,6,theme
sz.300409,道氏技术,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,22.62,50.0,0.0,52.7,100.0,88.3,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=29.7%/60.5%, 相对60日=46.5%, 量能20/120=1.86, 市值=131.3亿",0.2970183486238531,0.6053938963804117,131.25752336733302,14.605967363821083,1.5486820856542265,0.2081,0.2081,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,,,22.62,25.07,0.108311229000884,0.108311229000884,,22.62,25.07,,,theme_momentum,95.0,0.465,1.86,125.837,True,7,theme
sz.002156,通富微电,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,34.88,50.0,0.0,55.2,100.0,98.7,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=28.7%/45.5%, 相对60日=31.5%, 量能20/120=2.49, 市值=528.4亿",0.2866101069715974,0.4545454545454546,528.3785858058928,15.167001340021006,2.299729473087242,0.41,0.41,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,,,34.88,58.07,0.6648509174311925,0.6648509174311925,,34.88,58.07,,,theme_momentum,95.0,0.315,2.49,125.735,True,8,theme
sz.002222,福晶科技,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,47.61,50.0,0.0,38.6,100.0,76.1,0.0,94.2,0.0,"半导体/电子右侧动量, 20/60日涨幅=17.9%/47.4%, 相对60日=33.5%, 量能20/120=1.76, 市值=223.9亿",0.1787571180985392,0.4744502942087334,223.9032130826249,8.21562596880756,5.795054470683292,0.4583,0.4583,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,94.2,主题右侧动量,,,47.61,104.73,1.1997479521109011,1.2034674050906942,,47.52963432,104.73,,,theme_momentum,94.2,0.335,1.76,125.286,True,9,theme
sz.002815,崇达技术,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,17.24,50.0,0.0,24.3,100.0,84.4,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=26.2%/65.1%, 相对60日=51.1%, 量能20/120=3.24, 市值=186.8亿",0.2620790629575402,0.6513409961685823,186.799218197968,9.068915117836823,1.900999157671264,0.25,0.25,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,,,17.24,15.76,-0.0858468677494198,-0.0858468677494198,,17.24,15.76,,,theme_momentum,95.0,0.511,3.24,125.199,True,10,theme
sz.300373,扬杰科技,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,69.1,50.0,0.0,82.2,100.0,81.7,0.0,92.9,0.0,"半导体/电子右侧动量, 20/60日涨幅=26.3%/41.8%, 相对60日=27.8%, 量能20/120=1.64, 市值=374.3亿",0.2627923976608186,0.4183087027914614,374.29423766827273,40.06473008676673,1.7247089859423148,1.76,1.76,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,92.9,主题右侧动量,,,69.1,81.4,0.1780028943560059,0.1930013067849059,,68.2312748,81.4,,,theme_momentum,92.9,0.278,1.64,125.006,True,11,theme
sh.603019,中科曙光,C39计算机、通信和其他电子设备制造业,AI算力/CPO,VALUE,基本价值线,92.14,50.0,0.0,86.0,100.0,100.0,0.0,95.0,0.0,"AI算力/CPO右侧动量, 20/60日涨幅=32.9%/48.9%, 相对60日=34.9%, 量能20/120=2.38, 市值=1344.5亿",0.3288145370637438,0.4885298869143781,1344.5387175949002,28.81505972767249,3.1976334899460053,0.94,0.94,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,,,92.14,98.7,0.0711960060777079,0.0720665240952731,,92.06518232,98.7,,,theme_momentum,95.0,0.349,2.38,124.953,True,12,theme
sh.688591,泰凌微,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,58.47,50.0,0.0,64.5,100.0,73.1,0.0,93.1,0.0,"半导体/电子右侧动量, 20/60日涨幅=25.0%/55.7%, 相对60日=41.7%, 量能20/120=1.59, 市值=139.8亿",0.2496259884590723,0.5567092651757186,139.76386839195789,23.66964499486207,2.4702525117166725,0.38,0.38,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,93.1,主题右侧动量,,,58.47,36.32,-0.3788267487600478,-0.3788267487600478,,58.47,36.32,,,theme_momentum,93.1,0.41700000000000004,1.59,124.887,True,13,theme
sz.002273,水晶光电,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,27.32,50.0,0.0,59.1,100.0,91.6,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=31.5%/41.4%, 相对60日=27.4%, 量能20/120=2.04, 市值=372.9亿",0.3147256977863328,0.4140786749482401,372.8758318883257,14.646630875900868,1.8652753818594223,0.7,0.7,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,,,27.32,37.3,0.3653001464128842,0.3706016335313837,,27.21432624,37.3,,,theme_momentum,95.0,0.27399999999999997,2.04,124.854,True,14,theme
