code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,total_score,selection_bucket,valuation_state,selection_mode,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,current_valuation,low_avg,pepb_ratio,valuation_percentile,earnings_yoy,buy_close_raw,end_close_raw,raw_return,qfq_return
sh.601899,紫金矿业,B09有色金属矿采选业,资源金属,PB,PB低估,17.76,96.4,96.4,92.4,82.6,100.0,0.0,0.0,0.0,92.3,财报后主线候选,价值线附近/业绩强,财报后主线候选,"Q1价值线=24.43, 现价/价值=0.73, 扣非同比=58.8%, 市值=4704.3亿",0.014857142857142902,0.0783242258652097,4704.345123966943,24.425390542572774,0.7271122223837042,,,,,0.5876,17.76,34.66,0.9515765765765762,0.9953240565156827
sh.601881,中国银河,J67资本市场服务,J67资本市场服务,PB,PB低估,15.81,100.0,100.0,82.7,57.7,82.0,0.0,0.0,0.0,92.1,财报后主线候选,价值线附近/业绩强,财报后主线候选,"Q1价值线=25.22, 现价/价值=0.63, 扣非同比=85.1%, 市值=1957.9亿",-0.041818181818181754,0.12366737739872069,1957.9025925925926,25.216063273851063,0.6269812947524959,,,,,0.8506,15.81,12.94,-0.18153067678684387,-0.1660916984927383
sz.002648,卫星化学,C26化学原料和化学制品制造业,C26化学原料和化学制品制造业,PB,PB低估,18.4,100.0,100.0,100.0,46.3,92.8,0.0,0.0,0.0,90.8,财报后主线候选,价值线附近/业绩强,财报后主线候选,"Q1价值线=37.99, 现价/价值=0.48, 扣非同比=59.2%, 市值=620.7亿",-0.18222222222222229,-0.07491201608848674,620.6933333333332,37.98735652173913,0.484371687971238,,,,,0.5917,18.4,27.81,0.5114130434782609,0.557103120338349
sh.600489,中金黄金,B09有色金属矿采选业,资源金属,PB,PB低估,14.07,91.2,91.2,80.8,55.4,86.2,0.0,0.0,0.0,89.9,财报后主线候选,价值线附近/业绩强,财报后主线候选,"Q1价值线=18.37, 现价/价值=0.77, 扣非同比=71.1%, 市值=680.6亿",0.034558823529411864,0.019565217391304346,680.5860000000001,18.365623508564678,0.7661052179055373,,,,,0.7112999999999999,14.07,26.82,0.9061833688699361,0.957559518431162
sz.000719,中原传媒,R86新闻和出版业,R86新闻和出版业,VALUE,基本价值线,12.49,100.0,100.0,93.1,86.9,50.1,91.6,84.8,88.2,88.2,低估且高质量,深度低估且高质量,低估且高质量,"价值线=35.85, 现价/价值=0.35, 市值=127.4亿",0.08138528138528134,0.11418376449598555,127.37326732673267,35.85456310679612,0.3483517554738398,,,,,,12.49,14.27,0.14251401120896712,0.19753097946767073
sh.600988,赤峰黄金,B09有色金属矿采选业,资源金属,PB,PB低估,27.24,56.0,56.0,88.3,100.0,97.8,0.0,0.0,0.0,87.4,财报后主线候选,价值线附近/业绩强,财报后主线候选,"Q1价值线=26.45, 现价/价值=1.03, 扣非同比=138.6%, 市值=449.1亿",0.24383561643835616,0.4048478597215057,449.07813084112144,26.453582766439908,1.0297281937385725,,,,,1.3858000000000001,27.24,40.8,0.4977973568281937,0.5072917877995431
sz.000426,兴业银锡,B09有色金属矿采选业,资源金属,PB,PB低估,13.35,96.8,96.8,83.5,52.7,69.6,0.0,0.0,0.0,86.7,财报后主线候选,价值线附近/业绩强,财报后主线候选,"Q1价值线=18.44, 现价/价值=0.72, 扣非同比=64.1%, 市值=244.6亿",-0.042324246771879515,0.024558710667689887,244.6167664670659,18.441272235294118,0.7239196856738491,,,,,0.6408,13.35,49.98,2.743820224719101,2.7570978083738944
sh.603477,巨星农牧,A03畜牧业,A03畜牧业,PB,PB低估,20.45,86.9,86.9,72.8,64.1,73.4,0.0,0.0,0.0,85.2,财报后主线候选,价值线附近/业绩强,财报后主线候选,"Q1价值线=26.49, 现价/价值=0.77, 扣非同比=217.8%, 市值=104.1亿",-0.0024390243902439046,0.22235505080693363,104.13608712715856,26.486173410404625,0.7721009631374904,,,,,2.1781,20.45,17.83,-0.128117359413203,-0.1212330995148021
sz.000651,格力电器,C38电气机械和器材制造业,C38电气机械和器材制造业,VALUE,基本价值线,45.47,100.0,100.0,86.2,60.2,90.9,91.0,78.5,84.7,84.7,低估且高质量,深度低估且高质量,低估且高质量,"价值线=94.44, 现价/价值=0.48, 市值=2510.2亿",0.006641576267434113,0.0374172940908053,2510.2091766723847,94.4446425974833,0.48144604870590785,,,,,,45.47,40.3,-0.11370134154387512,-0.030849647017778037
sh.601900,南方传媒,R86新闻和出版业,R86新闻和出版业,VALUE,基本价值线,17.61,91.8,91.8,89.2,84.6,50.6,86.2,81.9,84.1,84.1,低估且高质量,深度低估且高质量,低估且高质量,"价值线=28.98, 现价/价值=0.61, 市值=155.0亿",0.10754716981132062,0.04759071980963725,155.0445652173913,28.983196790123458,0.6075934317225118,,,,,,17.61,12.59,-0.28506530380465644,-0.25787225912345824
