code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,current_valuation,low_avg,pepb_ratio,valuation_percentile,selection_bucket,valuation_state,total_score,selection_mode,earnings_yoy,buy_close_raw,end_close_raw,raw_return,qfq_return
sz.000651,格力电器,C38电气机械和器材制造业,C38电气机械和器材制造业,VALUE,基本价值线,45.47,100.0,100.0,86.2,60.2,90.9,94.3,78.5,84.7,"Q1价值线=94.44, 现价/价值=0.48, 扣非同比=26.3%, 市值=2510.2亿",0.006641576267434113,0.0374172940908053,2510.2091766723847,94.4446425974833,0.48144604870590785,,,,,价值线左侧确认,基本价值线左侧,94.3,价值线左侧确认,0.2634,45.47,40.3,-0.11370134154387512,-0.030849647017778037
sz.000960,锡业股份,C32有色金属冶炼和压延加工业,资源金属,VALUE,基本价值线,14.11,100.0,100.0,91.2,28.2,67.7,93.7,36.5,47.2,"Q1价值线=30.13, 现价/价值=0.47, 扣非同比=62.4%, 市值=239.0亿",-0.11812500000000004,-0.036202185792349795,238.9730236922355,30.13447578767313,0.46823446007220293,,,,,价值线左侧确认,基本价值线左侧,93.7,价值线左侧确认,0.6243,14.11,40.36,1.8603827072997876,1.9266748186162643
sz.000719,中原传媒,R86新闻和出版业,R86新闻和出版业,VALUE,基本价值线,12.49,100.0,100.0,93.1,86.9,50.1,92.6,84.8,88.2,"Q1价值线=35.85, 现价/价值=0.35, 扣非同比=244.2%, 市值=127.4亿",0.08138528138528134,0.11418376449598555,127.37326732673267,35.85456310679612,0.3483517554738398,,,,,价值线左侧确认,基本价值线左侧,92.6,价值线左侧确认,2.4422,12.49,14.27,0.14251401120896712,0.19753097946767073
sz.002532,天山铝业,C32有色金属冶炼和压延加工业,资源金属,VALUE,基本价值线,7.58,100.0,100.0,76.5,45.0,67.7,88.6,50.6,61.0,"Q1价值线=19.65, 现价/价值=0.39, 扣非同比=47.1%, 市值=351.8亿",-0.14253393665158365,-0.155902004454343,351.759375,19.652518734006733,0.3857011970116361,,,,,价值线左侧确认,基本价值线左侧,88.6,价值线左侧确认,0.4714,7.58,16.98,1.2401055408970976,1.3427459253798393
sz.002353,杰瑞股份,C35专用设备制造业,C35专用设备制造业,VALUE,基本价值线,31.38,91.7,91.7,87.4,25.0,64.0,87.4,62.3,71.6,"Q1价值线=51.61, 现价/价值=0.61, 扣非同比=28.4%, 市值=318.3亿",-0.14589003810560708,-0.19373072970195282,318.28285714285715,51.610185633802814,0.608019514261294,,,,,价值线左侧确认,基本价值线左侧,87.4,价值线左侧确认,0.2837,31.38,148.95,3.7466539196940722,3.858531320409133
sz.000426,兴业银锡,B09有色金属矿采选业,资源金属,PB,PB低估,13.35,96.8,96.8,83.5,52.7,69.6,0.0,0.0,0.0,"Q1价值线=18.44, 现价/价值=0.72, 扣非同比=64.1%, 市值=244.6亿",-0.042324246771879515,0.024558710667689887,244.6167664670659,18.441272235294118,0.7239196856738491,,,,,财报后主线候选,价值线附近/业绩强,86.7,财报后主线候选,0.6408,13.35,49.98,2.743820224719101,2.7570978083738944
sz.002311,海大集团,C13农副食品加工业,消费,VALUE,基本价值线,54.38,64.6,64.6,92.5,86.9,74.3,0.0,0.0,0.0,"Q1价值线=60.79, 现价/价值=0.89, 扣非同比=68.6%, 市值=903.8亿",0.08586261980830678,0.10979591836734692,903.7915867158672,60.790193610124334,0.8945521764376032,,,,,财报后主线候选,价值线附近/业绩强,86.2,财报后主线候选,0.6858,54.38,45.62,-0.16108863552776764,-0.14242611258995008
sz.000039,中集集团,C33金属制品业,资源金属,VALUE,基本价值线,7.79,100.0,100.0,70.4,48.1,63.7,86.0,63.1,72.7,"Q1价值线=21.25, 现价/价值=0.37, 扣非同比=132.4%, 市值=436.8亿",-0.08995327102803741,-0.037082818294190356,436.8279245283018,21.248411843876177,0.36661563495838817,,,,,价值线左侧确认,基本价值线左侧,86.0,价值线左侧确认,1.3241999999999998,7.79,13.02,0.6713735558408216,0.7072497010588725
sz.001301,尚太科技,C30非金属矿物制品业,资源金属,VALUE,基本价值线,52.2,83.6,83.6,92.5,1.6,53.9,83.7,29.8,28.6,"Q1价值线=78.48, 现价/价值=0.67, 扣非同比=72.6%, 市值=135.8亿",-0.12091613337824181,-0.06868867082961627,135.8496894409938,78.48388400954653,0.6651046983562965,,,,,价值线左侧确认,基本价值线左侧,83.7,价值线左侧确认,0.726,52.2,77.95,0.4932950191570882,0.5165913793350541
sz.000333,美的集团,C38电气机械和器材制造业,C38电气机械和器材制造业,VALUE,基本价值线,74.05,85.0,72.4,93.0,33.4,96.2,83.4,72.2,77.8,"价值线=99.64, 现价/价值=0.74, 市值=5245.7亿",-0.025144813059505,0.02548123528597146,5245.707444852941,99.64038833121417,0.7431725351556311,,,,,低估价值,深度低估,83.4,低估价值,,74.05,80.38,0.08548278190411884,0.1450952980239475
