code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,eps_excl,eps_excl_raw,eps_adjustment_factor,eps_excl_source,current_valuation,low_avg,pepb_ratio,valuation_percentile,selection_bucket,valuation_state,total_score,selection_mode,earnings_yoy,buy_close_raw,end_close_raw,buy_close_qfq,end_close_qfq,raw_return,qfq_return
sh.603501,豪威集团,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,135.2,100.0,100.0,100.0,64.6,93.1,99.3,86.6,91.2,"Q1价值线=584.46, 现价/价值=0.23, akshare东方财富扣非净利润同比=2114.7%, 市值=1620.6亿",0.009256494475962773,0.2225336829731439,1620.5585257002979,584.4623340596585,0.23132371775081673,2.55,2.55,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,99.3,价值线左侧确认,21.1472027586899,135.2,99.79,134.4891184,99.79,-0.2619082840236685,-0.2580068842209021
sz.300502,新易盛,C39计算机、通信和其他电子设备制造业,AI算力/CPO,VALUE,基本价值线,93.63,100.0,100.0,92.5,26.5,100.0,97.4,70.9,80.6,"Q1价值线=178.37, 现价/价值=0.52, akshare东方财富扣非净利润同比=317.6%, 市值=664.0亿",-0.059278609464483156,-0.0866256950541412,664.0395025072548,178.3691298994429,0.5249226704911589,3.99,3.99,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,97.4,价值线左侧确认,3.17593035963907,93.63,599.92,66.60894378,599.92,5.407348072199081,8.006598302796267
sz.001309,德明利,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,129.63,100.0,100.0,100.0,65.6,73.3,97.3,84.0,88.9,"Q1价值线=430.77, 现价/价值=0.30, akshare东方财富扣非净利润同比=1926.5%, 市值=191.4亿",0.001854857407836752,0.24896425474515826,191.40856717183755,430.77285223812464,0.30092425584967575,2.05,2.05,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,97.3,价值线左侧确认,19.2653833569774,129.63,735.04,92.27218956,735.04,4.670292370593227,6.965997160195707
sh.603986,兆易创新,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,131.85,100.0,100.0,92.5,56.4,94.7,96.8,80.6,86.7,"Q1价值线=607.76, 现价/价值=0.22, akshare东方财富扣非净利润同比=3660.8%, 市值=876.6亿",0.12126881537545708,-0.025858884373845537,876.5722717897644,607.76449582779,0.21694258369011354,1.55,1.55,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,96.8,价值线左侧确认,36.6078702361091,131.85,400.0,131.4795015,400.0,2.0337504740235115,2.042299335155298
sz.300724,捷佳伟创,C35专用设备制造业,C35专用设备制造业,VALUE,基本价值线,56.71,100.0,100.0,100.0,26.2,63.6,96.4,68.7,78.8,"Q1价值线=155.87, 现价/价值=0.36, akshare东方财富扣非净利润同比=68.2%, 市值=197.4亿",-0.08384491114701131,-0.07698567708333326,197.44536497609715,155.8723455523271,0.3638233568568594,7.37,7.37,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,96.4,价值线左侧确认,0.6823305344411,56.71,88.44,55.44298518,88.44,0.5595133133486156,0.5951522038878787
sz.002984,森麒麟,C29橡胶和塑料制品业,C29橡胶和塑料制品业,VALUE,基本价值线,18.78,100.0,100.0,100.0,0.0,62.8,96.3,59.4,72.9,"Q1价值线=46.13, 现价/价值=0.41, akshare东方财富扣非净利润同比=63.0%, 市值=194.8亿",-0.21977565434150392,-0.2427419354838709,194.76289836919906,46.13379498385009,0.4070768512881773,2.05,2.05,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,96.3,价值线左侧确认,0.62964618035459,18.78,15.71,18.21952968,15.71,-0.16347177848775296,-0.13773844462926887
sz.300953,震裕科技,C33金属制品业,资源金属,VALUE,基本价值线,156.99,100.0,100.0,92.5,66.6,79.8,95.4,81.9,87.2,"Q1价值线=628.21, 现价/价值=0.25, akshare东方财富扣非净利润同比=2528.1%, 市值=158.5亿",0.009841759938247874,0.26299275945293665,158.4584269358476,628.2138328046684,0.24989898630394083,2.29,2.29,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,95.4,价值线左侧确认,25.2813592093946,156.99,243.68,112.64911644,243.68,0.5522007771195616,1.163177197486415
sh.603236,移远通信,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,77.61,100.0,100.0,92.5,45.5,78.0,95.2,74.3,82.2,"Q1价值线=1902.28, 现价/价值=0.04, akshare东方财富扣非净利润同比=9287.3%, 市值=205.5亿",-0.0702048640230023,-0.09703315881326358,205.48522015281196,1902.278475883861,0.040798443016572455,2.01,2.01,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,95.2,价值线左侧确认,92.8731561224403,77.61,74.7,76.77002697,74.7,-0.037495168148434455,-0.026963999515187353
sh.600988,赤峰黄金,B09有色金属矿采选业,资源金属,PB,PB低估,27.24,6.8,6.8,100.0,100.0,97.8,48.5,95.0,71.8,"PB=4.75, 低估均值=3.54, 比值=1.34, 分位=50%",0.24383561643835616,0.4048478597215057,,,,,,,,4.751463,3.5352655454545454,1.344018699276827,0.5012244897959184,高质量趋势,估值有约束的高质量,95.0,高质量趋势,,27.24,36.66,27.06841524,36.66,0.3458149779735682,0.35434600344929534
sh.605333,沪光股份,C36汽车制造业,C36汽车制造业,VALUE,基本价值线,30.38,100.0,100.0,100.0,26.3,48.4,94.8,66.5,77.0,"Q1价值线=253.75, 现价/价值=0.12, akshare东方财富扣非净利润同比=1546.7%, 市值=132.3亿",-0.04555450832547914,-0.12951289398280796,132.3055540814,253.7488516848885,0.11972467973067567,1.51,1.51,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,94.8,价值线左侧确认,15.4670537485052,30.38,23.3,30.1307321,23.3,-0.23304805793285055,-0.22670315733881552
