code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,eps_excl,eps_excl_raw,eps_adjustment_factor,eps_excl_source,current_valuation,low_avg,pepb_ratio,valuation_percentile,selection_bucket,valuation_state,total_score,selection_mode,earnings_yoy,buy_close_raw,end_close_raw,buy_close_qfq,end_close_qfq,raw_return,qfq_return,segment_file,segment_order,end_quote_time,end_quote_trade_date,buy_trade_date,end_trade_date
sh.600004,白云机场,G56航空运输业,G56航空运输业,PB,PB低估,9.09,75.9,75.9,36.1,32.3,47.4,58.7,38.4,48.6,"PB=1.15, 低估均值=1.31, 比值=0.88, 分位=1%",0.001101321585903,-0.0172972972972973,,,,,,,,1.154189,1.3139355454545454,0.878421322866882,0.0122448979591836,低估价值,价值线内/历史低位,58.7,低估价值,,9.09,8.3,8.93293389,8.3,-0.08690869086908681,-0.07085397673305727,q1_backtest_2025-05-06_2026-05-18_174533.csv,0,,,2025-05-06,2026-05-18
sh.600008,首创环保,D46水的生产和供应业,D46水的生产和供应业,PB,PB低估,3.16,86.0,86.0,36.9,59.3,58.0,68.3,50.3,59.3,"PB=1.10, 低估均值=1.54, 比值=0.71, 分位=12%",0.0063694267515923,0.0193548387096773,,,,,,,,1.097442,1.539734909090909,0.7127473654851095,0.1159183673469387,低估价值,价值线内/历史低位,68.3,低估价值,,3.16,3.08,2.95517512,3.08,-0.025316455696202556,0.04223941896208183,q1_backtest_2025-05-06_2026-05-18_174533.csv,0,,,2025-05-06,2026-05-18
sh.600009,上海机场,G56航空运输业,G56航空运输业,PB,PB低估,32.25,88.5,88.5,42.3,6.8,60.4,66.0,34.9,50.4,"PB=1.90, 低估均值=2.60, 比值=0.73, 分位=0%",-0.0043223217042297,-0.0230233262647682,,,,,,,,1.902534,2.5975741818181817,0.732427205858781,0.0048979591836734,低估价值,价值线内/历史低位,66.0,低估价值,,32.25,25.57,31.73970825,25.57,-0.20713178294573642,-0.1943845293537,q1_backtest_2025-05-06_2026-05-18_174533.csv,0,,,2025-05-06,2026-05-18
sh.600017,日照港,G55水上运输业,G55水上运输业,PB,PB低估,3.04,75.0,58.0,15.5,33.4,59.6,54.4,31.3,42.9,"PB=0.67, 低估均值=0.74, 比值=0.91, 分位=29%",-0.0097719869706839,0.0133333333333334,,,,,,,,0.671248,0.7391688000000001,0.908111922472918,0.2897959183673469,低估价值,价值线内/历史低位,54.4,低估价值,,3.04,2.82,2.92714304,2.82,-0.07236842105263164,-0.03660328126636403,q1_backtest_2025-05-06_2026-05-18_174533.csv,0,,,2025-05-06,2026-05-18
sh.600018,上港集团,G55水上运输业,G55水上运输业,PB,PB低估,5.47,91.0,91.0,25.2,4.8,54.4,62.3,25.8,44.0,"PB=0.93, 低估均值=1.32, 比值=0.70, 分位=0%",-0.0369718309859155,-0.0369718309859155,,,,,,,,0.926143,1.3150588,0.7042597638980097,0.0008163265306122,低估价值,价值线内/历史低位,62.3,低估价值,,5.47,5.06,5.28807327,5.06,-0.07495429616087756,-0.043129748465077555,q1_backtest_2025-05-06_2026-05-18_174533.csv,0,,,2025-05-06,2026-05-18
sh.600021,上海电力,D44电力、热力生产和供应业,D44电力、热力生产和供应业,PB,PB低估,9.04,75.0,62.7,30.8,34.5,64.4,58.8,39.3,49.1,"PB=1.26, 低估均值=1.35, 比值=0.93, 分位=18%",-0.0141766630316249,0.0390804597701148,,,,,,,,1.25846,1.3515586,0.9311176000803812,0.1848979591836734,低估价值,价值线内/历史低位,58.8,低估价值,,9.04,16.77,8.76245392,16.77,0.8550884955752214,0.913847439667905,q1_backtest_2025-05-06_2026-05-18_174533.csv,0,,,2025-05-06,2026-05-18
sh.600023,浙能电力,D44电力、热力生产和供应业,D44电力、热力生产和供应业,PB,PB低估,5.31,75.0,43.1,11.3,30.4,65.6,53.7,29.3,41.5,"PB=0.95, 低估均值=0.96, 比值=0.99, 分位=41%",-0.078125,0.0056818181818181,,,,,,,,0.952189,0.9623294545454544,0.9894625956863762,0.4138775510204082,低估价值,价值线内/历史低位,53.7,低估价值,,5.31,6.15,4.9889043,6.15,0.15819209039548032,0.2327356129080289,q1_backtest_2025-05-06_2026-05-18_174533.csv,0,,,2025-05-06,2026-05-18
sh.600031,三一重工,C35专用设备制造业,C35专用设备制造业,VALUE,基本价值线,19.68,75.0,38.5,78.2,91.0,82.3,78.3,83.1,80.7,"价值线=20.08, 现价/价值=0.98, 扣非EPS=0.63, akshare东方财富扣非净利润同比=78.5%, 市值=1667.0亿",0.0165289256198346,0.2447817836812142,1667.0303878037157,20.0772791120414,0.9802125024100936,0.6297,0.6297,1.0,年报扣非EPS,,,,,低估且高质量,低估且高质量,80.7,低估且高质量,,19.68,19.39,19.0307568,19.39,-0.014735772357723498,0.01887697918560982,q1_backtest_2025-05-06_2026-05-18_174533.csv,0,,,2025-05-06,2026-05-18
sh.600032,浙江新能,D44电力、热力生产和供应业,D44电力、热力生产和供应业,PB,PB低估,7.66,75.0,67.9,2.3,57.0,63.3,53.9,34.2,44.1,"PB=1.47, 低估均值=1.67, 比值=0.88, 分位=17%",-0.0090556274256144,0.0849858356940511,,,,,,,,1.470464,1.6705963999999998,0.8802030221063569,0.1725941422594142,低估价值,价值线内/历史低位,53.9,低估价值,,7.66,11.21,7.60942102,11.21,0.4634464751958225,0.473173842075044,q1_backtest_2025-05-06_2026-05-18_174533.csv,0,,,2025-05-06,2026-05-18
sh.600035,楚天高速,G54道路运输业,G54道路运输业,PB,PB低估,4.42,75.0,54.5,6.7,59.4,33.8,52.2,32.6,42.4,"PB=0.80, 低估均值=0.88, 比值=0.91, 分位=35%",-0.0089686098654708,0.0327102803738317,,,,,,,,0.798957,0.8795457000000001,0.9083746302210334,0.3453061224489795,低估价值,价值线内/历史低位,52.2,低估价值,,4.42,3.84,4.25190298,3.84,-0.13122171945701355,-0.09687497149805613,q1_backtest_2025-05-06_2026-05-18_174533.csv,0,,,2025-05-06,2026-05-18
