code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,eps_excl,eps_excl_raw,eps_adjustment_factor,eps_excl_source,current_valuation,low_avg,pepb_ratio,valuation_percentile,selection_bucket,valuation_state,total_score,selection_mode,end_quote_time,end_quote_trade_date,buy_close_raw,end_close_raw,raw_return,qfq_return,earnings_yoy
sh.600329,达仁堂,C27医药制造业,医药医疗,PE,PE低估,45.66,100.0,100.0,100.0,97.2,70.5,96.8,94.6,95.7,"PE=10.05, 低估均值=21.26, 比值=0.47, 分位=0%",0.10825242718446582,0.31774891774891767,,,,,,,,10.048619,21.263747600000002,0.47257046072160863,0.002039983680130559,低估且高质量,低估且高质量,95.7,低估且高质量,2026-05-19 16:11:33,2026-05-19,45.66,43.33,-0.051029347349978105,0.0013228132976637053,
sz.300274,阳光电源,C38电气机械和器材制造业,C38电气机械和器材制造业,VALUE,基本价值线,99.2,75.0,36.5,100.0,100.0,100.0,87.5,98.8,93.1,"价值线=99.73, 现价/价值=0.99, 扣非EPS=5.16, akshare东方财富扣非净利润同比=53.5%, 市值=2055.7亿",0.34453781512605053,0.5748531512938562,2055.656923447504,99.73093926149406,0.994676283353735,5.16,5.16,1.0,年报扣非EPS,,,,,低估且高质量,低估且高质量,93.1,低估且高质量,2026-05-19 15:34:57,2026-05-19,99.2,157.38,0.5864919354838709,0.6045154576193086,
sh.603296,华勤技术,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,96.11,0.0,0.0,98.8,100.0,84.0,48.0,92.1,70.1,"价值线=57.55, 现价/价值=1.67, 扣非EPS=2.32, akshare东方财富扣非净利润同比=47.9%, 市值=971.6亿",0.1970357454228422,0.33264004437049355,971.5978442664799,57.55031856944852,1.6700168198725052,2.32,2.32,1.0,年报扣非EPS,,,,,高质量趋势,估值有约束的高质量,92.1,高质量趋势,2026-05-19 16:11:44,2026-05-19,96.11,108.9,0.13307668296743325,0.13307668296743325,
sz.000719,中原传媒,R86新闻和出版业,R86新闻和出版业,VALUE,基本价值线,12.52,100.0,100.0,93.0,49.0,40.9,91.6,70.1,78.5,"Q1价值线=30.05, 现价/价值=0.42, akshare东方财富扣非净利润同比=54.8%, 市值=128.3亿",-0.045003813882532384,-0.04718417047184176,128.27050621507868,30.048502891276094,0.4166596933398269,1.22,1.22,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,91.6,价值线左侧确认,2026-05-19 15:34:33,2026-05-19,12.52,14.2,0.13418530351437696,0.13418530351437696,0.54823629449468
sh.603508,思维列控,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,VALUE,基本价值线,37.16,55.0,24.6,98.5,100.0,61.6,73.2,91.3,82.3,"价值线=34.48, 现价/价值=1.08, 扣非EPS=1.44, akshare东方财富扣非净利润同比=56.5%, 市值=141.6亿",0.24489112227805676,0.3357296908698777,141.56176301419998,34.47868204199274,1.077767414506784,1.44,1.44,1.0,年报扣非EPS,,,,,高质量趋势,估值有约束的高质量,91.3,高质量趋势,2026-05-19 16:11:45,2026-05-19,37.16,25.8,-0.3057050592034445,-0.2631849354589072,
sh.688578,艾力斯,C27医药制造业,医药医疗,PE,PE低估,116.98,27.0,27.0,100.0,95.9,74.2,56.9,91.1,74.0,"PE=28.85, 低估均值=23.19, 比值=1.24, 分位=32%",0.18556805513327257,0.21854166666666663,,,,,,,,28.845244,23.185918,1.2440846206736347,0.32004689331770225,高质量趋势,估值有约束的高质量,91.1,高质量趋势,2026-05-19 16:11:43,2026-05-19,116.98,90.32,-0.22790220550521467,-0.22521525199914771,
sz.002938,鹏鼎控股,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,58.49,0.0,0.0,92.5,100.0,94.0,47.1,90.7,68.9,"价值线=36.56, 现价/价值=1.60, 扣非EPS=1.52, akshare东方财富扣非净利润同比=51.9%, 市值=1358.9亿",0.17899617012699065,0.9509673115410273,1358.882560311937,36.56239752869812,1.599730979186765,1.52,1.52,1.0,年报扣非EPS,,,,,高质量趋势,估值有约束的高质量,90.7,高质量趋势,2026-05-19 15:34:27,2026-05-19,58.49,94.12,0.6091639596512224,0.6091639596512224,
sh.603979,金诚信,B11开采专业及辅助性活动,资源金属,VALUE,基本价值线,69.05,16.9,16.9,100.0,100.0,64.0,54.8,90.4,72.6,"价值线=61.01, 现价/价值=1.13, 扣非EPS=2.54, akshare东方财富扣非净利润同比=78.5%, 市值=426.9亿",0.4287192220153113,0.6915727584517393,426.8789484199881,61.00687218202494,1.1318397015007906,2.54,2.54,1.0,年报扣非EPS,,,,,高质量趋势,估值有约束的高质量,90.4,高质量趋势,2026-05-19 16:11:56,2026-05-19,69.05,65.71,-0.04837074583635048,-0.04837074583635048,
sz.300724,捷佳伟创,C35专用设备制造业,C35专用设备制造业,VALUE,基本价值线,108.12,85.0,69.0,95.6,85.0,94.8,89.1,91.2,90.2,"价值线=140.92, 现价/价值=0.77, 扣非EPS=7.37, akshare东方财富扣非净利润同比=42.4%, 市值=376.4亿",0.5669565217391306,1.0512236767216847,376.43789210396096,140.92233862735281,0.767231093758006,7.37,7.37,1.0,年报扣非EPS,,,,,低估且高质量,深度低估且高质量,90.2,低估且高质量,2026-05-19 15:34:15,2026-05-19,108.12,89.0,-0.17684054753977063,-0.17684054753977063,
sz.300750,宁德时代,C38电气机械和器材制造业,C38电气机械和器材制造业,VALUE,基本价值线,304.0,0.0,0.0,91.6,95.4,100.0,47.0,89.6,68.3,"价值线=203.83, 现价/价值=1.49, 扣非EPS=10.26, akshare东方财富扣非净利润同比=35.6%, 市值=13331.2亿",0.1407985589912939,0.23788582132095448,13331.235259259258,203.83361134863475,1.4914125201856026,10.26,10.26,1.0,年报扣非EPS,,,,,高质量趋势,估值有约束的高质量,89.6,高质量趋势,2026-05-19 15:34:33,2026-05-19,304.0,417.92,0.37473684210526326,0.396292810513978,
sh.603236,移远通信,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,106.81,0.0,0.0,92.5,100.0,85.2,46.3,89.4,67.8,"价值线=64.94, 现价/价值=1.64, 扣非EPS=2.01, akshare东方财富扣非净利润同比=139.4%, 市值=282.8亿",0.2992336698698457,0.3902121567096186,282.79701539133936,64.93555764345689,1.644861519269058,2.01,2.01,1.0,年报扣非EPS,,,,,高质量趋势,估值有约束的高质量,89.4,高质量趋势,2026-05-19 16:11:45,2026-05-19,106.81,75.94,-0.28901788222076585,-0.28901788222076585,
sz.002432,九安医疗,C35专用设备制造业,医药医疗,VALUE,基本价值线,39.64,100.0,100.0,78.7,35.9,66.5,89.2,62.9,73.4,"Q1价值线=94.39, 现价/价值=0.42, akshare东方财富扣非净利润同比=26.3%, 市值=173.4亿",0.013551521350038342,0.046462513199577504,173.4437819084066,94.39280647447278,0.4199472553103937,3.8408,3.8408,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,89.2,价值线左侧确认,2026-05-19 15:34:00,2026-05-19,39.64,73.93,0.8650353178607468,0.8650353178607468,0.26273993642527
sz.301345,涛涛车业,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,VALUE,基本价值线,183.28,0.0,0.0,100.0,98.7,64.2,46.3,89.2,67.7,"价值线=103.85, 现价/价值=1.76, 扣非EPS=3.87, akshare东方财富扣非净利润同比=89.6%, 市值=199.2亿",0.1462163852407754,1.2381243131029431,199.2470398407421,103.84602622358715,1.7649206875320045,3.87,3.87,1.0,年报扣非EPS,,,,,高质量趋势,估值有约束的高质量,89.2,高质量趋势,2026-05-19 15:34:09,2026-05-19,183.28,232.3,0.2674596246180707,0.2834514294287531,
sh.603259,药明康德,M73研究和试验发展,医药医疗,VALUE,基本价值线,111.58,0.0,0.0,86.3,100.0,100.0,45.9,88.8,67.4,"价值线=64.62, 现价/价值=1.73, 扣非EPS=3.46, akshare东方财富扣非净利润同比=26.5%, 市值=3221.0亿",0.21480675013609152,0.7219135802469137,3221.018811494448,64.61635543188176,1.7268073888448736,3.46,3.46,1.0,年报扣非EPS,,,,,高质量趋势,估值有约束的高质量,88.8,高质量趋势,2026-05-19 16:11:36,2026-05-19,111.58,101.79,-0.08773973830435555,-0.08475696124104015,
sz.002947,恒铭达,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,43.7,14.9,14.9,93.5,100.0,69.4,52.5,88.2,70.3,"价值线=38.15, 现价/价值=1.15, 扣非EPS=1.88, akshare东方财富扣非净利润同比=38.9%, 市值=104.3亿",0.302145411203814,0.3072090936284775,104.28963339488298,38.15387513778771,1.1453620331403611,1.88,1.88,1.0,年报扣非EPS,,,,,高质量趋势,估值有约束的高质量,88.2,高质量趋势,2026-05-19 15:34:36,2026-05-19,43.7,89.54,1.0489702517162471,1.0618423334036864,
sh.600585,海螺水泥,C30非金属矿物制品业,资源金属,VALUE,基本价值线,24.31,100.0,100.0,71.9,62.7,79.6,88.1,54.2,64.1,"Q1价值线=54.14, 现价/价值=0.45, akshare东方财富扣非净利润同比=31.8%, 市值=1278.8亿",0.03623188405797095,0.06529360210341806,1278.8282445714285,54.135692686192236,0.44905678294203244,1.4,1.4,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,88.1,价值线左侧确认,2026-05-19 16:11:45,2026-05-19,24.31,19.99,-0.17770464829288357,-0.16916532954999852,0.31813183776866
sh.603129,春风动力,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,VALUE,基本价值线,272.0,0.0,0.0,93.2,100.0,68.8,44.8,87.3,66.1,"价值线=176.40, 现价/价值=1.54, 扣非EPS=9.54, akshare东方财富扣非净利润同比=38.4%, 市值=411.0亿",0.2088888888888889,0.35256091496767783,411.01349819287213,176.4007067130385,1.5419439358736728,9.54,9.54,1.0,年报扣非EPS,,,,,高质量趋势,估值有约束的高质量,87.3,高质量趋势,2026-05-19 16:11:34,2026-05-19,272.0,247.02,-0.09183823529411761,-0.09183823529411761,
sz.002299,圣农发展,C13农副食品加工业,消费,VALUE,基本价值线,17.6,99.1,99.1,76.5,88.7,60.0,87.3,79.4,83.4,"Q1价值线=31.65, 现价/价值=0.56, akshare东方财富扣非净利润同比=305.4%, 市值=217.0亿",0.08108108108108114,0.15032679738562105,217.00437158600997,31.653492201646657,0.5560207982070435,0.5604,0.5604,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,87.3,价值线左侧确认,2026-05-19 15:34:06,2026-05-19,17.6,17.55,-0.0028409090909091717,0.015740023152621907,3.0543791940445497
sz.002056,横店东磁,C38电气机械和器材制造业,C38电气机械和器材制造业,VALUE,基本价值线,18.54,85.0,72.0,80.9,100.0,78.7,84.7,87.5,86.1,"价值线=24.86, 现价/价值=0.75, 扣非EPS=1.04, akshare东方财富扣非净利润同比=77.8%, 市值=298.8亿",0.19535783365570603,0.3733333333333333,298.7861010506024,24.86094808942558,0.7457479068501757,1.0375,1.0375,1.0,年报扣非EPS,,,,,低估且高质量,深度低估且高质量,86.1,低估且高质量,2026-05-19 15:34:21,2026-05-19,18.54,19.39,0.045846817691477915,0.06508003292605657,
