code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,eps_excl,eps_excl_raw,eps_adjustment_factor,eps_excl_source,current_valuation,low_avg,pepb_ratio,valuation_percentile,selection_bucket,valuation_state,total_score,selection_mode,buy_close_raw,end_close_raw,buy_close_qfq,end_close_qfq,buy_trade_date,end_trade_date,raw_return,qfq_return,earnings_yoy,theme_momentum_score,relative_ret20,relative_ret60,volume_ratio_20_120
sz.001309,德明利,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,699.16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,"价值线=1418.79, 现价/价值=0.49, 扣非EPS=2.99, akshare东方财富扣非净利润同比=4547.5%, 市值=1562.6亿",0.35286377708978334,1.9432119553778149,1562.5922669550912,1418.7949047167986,0.49278440292929954,2.99,2.99,1.0,年报扣非EPS,,,,,低估且高质量,深度低估且高质量,100.0,低估且高质量,699.16,699.16,699.16,699.16,2026-05-19,2026-05-19,0.0,0.0,,,,,
sz.000807,云铝股份,C32有色金属冶炼和压延加工业,资源金属,VALUE,基本价值线,30.01,100.0,100.0,100.0,47.5,91.6,99.2,62.3,47.0,"2026Q1价值线=73.67, 现价/价值=0.41, akshare东方财富扣非净利润同比=266.4%, 市值=1040.9亿",-0.17600219659527727,-0.050616893388168216,1040.8542894832065,73.66597735733626,0.4073793775168227,1.73,1.73,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,99.2,价值线左侧确认,30.01,30.01,30.01,30.01,2026-05-19,2026-05-19,0.0,0.0,2.66390051357146,,,,
sz.301219,腾远钴业,C32有色金属冶炼和压延加工业,资源金属,VALUE,基本价值线,83.12,100.0,100.0,100.0,67.1,85.2,98.5,59.2,43.6,"2026Q1价值线=200.24, 现价/价值=0.42, akshare东方财富扣非净利润同比=350.7%, 市值=244.9亿",0.03938977116418663,0.24936119044040295,244.9287526758746,200.24301556107963,0.41509562651710125,3.7,3.7,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,98.5,价值线左侧确认,83.12,83.12,83.12,83.12,2026-05-19,2026-05-19,0.0,0.0,3.50695547239826,,,,
sh.600961,株冶集团,C32有色金属冶炼和压延加工业,资源金属,VALUE,基本价值线,27.78,100.0,100.0,95.0,75.0,94.4,97.7,85.8,66.1,"2026Q1价值线=59.75, 现价/价值=0.46, akshare东方财富扣非净利润同比=323.4%, 市值=311.4亿",0.38346613545816743,0.3924812030075189,311.3723081638246,59.75436251987299,0.4649032945629866,1.3,1.3,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,97.7,价值线左侧确认,27.78,27.78,27.78,27.78,2026-05-19,2026-05-19,0.0,0.0,3.2341697040152297,,,,
sz.301358,湖南裕能,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,90.84,100.0,100.0,92.5,70.6,100.0,97.4,86.3,90.6,"2026Q1价值线=281.92, 现价/价值=0.32, akshare东方财富扣非净利润同比=1476.0%, 市值=691.4亿",0.06594696080732221,0.45344000000000007,691.4152263300148,281.9175871708971,0.322221826994189,1.63,1.63,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,97.4,价值线左侧确认,90.84,90.84,90.84,90.84,2026-05-19,2026-05-19,0.0,0.0,14.7603645238059,,,,
sz.300475,香农芯创,F51批发业,半导体/电子,VALUE,基本价值线,188.88,100.0,100.0,90.8,100.0,100.0,96.8,95.4,72.1,"2026Q1价值线=1002.06, 现价/价值=0.19, akshare东方财富扣非净利润同比=8675.3%, 市值=867.5亿",0.20459183673469372,0.37587412587412583,867.4504279383507,1002.0572743577579,0.18849221978959,1.13,1.13,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,96.8,价值线左侧确认,188.88,188.88,188.88,188.88,2026-05-19,2026-05-19,0.0,0.0,86.752584446244,,,,
sz.002432,九安医疗,C35专用设备制造业,医药医疗,VALUE,基本价值线,73.93,94.6,94.6,99.9,67.4,95.9,96.6,87.7,90.6,"2026Q1价值线=125.72, 现价/价值=0.59, akshare东方财富扣非净利润同比=49.9%, 市值=320.5亿",-0.017933049946864954,0.7494084240416472,320.47024400574327,125.71643308307355,0.588069500437918,5.2878,5.2878,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,96.6,价值线左侧确认,73.93,73.93,73.93,73.93,2026-05-19,2026-05-19,0.0,0.0,0.49851347868192003,,,,
sh.601677,明泰铝业,C32有色金属冶炼和压延加工业,资源金属,VALUE,基本价值线,17.6,100.0,100.0,96.0,57.5,73.9,96.0,50.5,52.8,"2026Q1价值线=39.26, 现价/价值=0.45, akshare东方财富扣非净利润同比=74.1%, 市值=223.2亿",-0.004524886877827927,0.09248913718187479,223.20667810674627,39.260468876122765,0.44828807459056813,1.34,1.34,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,96.0,价值线左侧确认,17.6,17.6,17.6,17.6,2026-05-19,2026-05-19,0.0,0.0,0.74084016849446,,,,
sh.603002,宏昌电子,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,15.83,50.0,0.0,15.0,100.0,84.6,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=22.8%/67.3%, 相对60日=66.3%, 量能20/120=2.22, 市值=158.0亿",0.22808378588052758,0.6733615221987315,158.04560171603333,3.0085402453820036,5.261687964553061,0.03,0.03,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,15.83,15.83,15.83,15.83,2026-05-19,2026-05-19,0.0,0.0,,95.0,0.19997635533626656,0.6633903546218474,2.2220604414878316
sh.688025,杰普特,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,405.9,50.0,0.0,100.0,100.0,87.8,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=43.6%/83.7%, 相对60日=82.7%, 量能20/120=1.64, 市值=386.0亿",0.43589925003537555,0.8366515837104072,386.0343200726936,106.73796935827043,3.802770489642535,2.84,2.84,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,405.9,405.9,405.9,405.9,2026-05-19,2026-05-19,0.0,0.0,,95.0,0.40779181949111454,0.826680416133523,1.6407149072064218
