code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,eps_excl,eps_excl_raw,eps_adjustment_factor,eps_excl_source,current_valuation,low_avg,pepb_ratio,valuation_percentile,selection_bucket,valuation_state,total_score,selection_mode,buy_close_raw,end_close_raw,buy_close_qfq,end_close_qfq,buy_trade_date,end_trade_date,raw_return,qfq_return,earnings_yoy,theme_momentum_score,relative_ret20,relative_ret60,volume_ratio_20_120,portfolio_score,final_selected,final_rank,portfolio_profile
sz.301358,湖南裕能,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,90.84,100.0,100.0,92.5,70.6,100.0,97.4,86.3,90.6,"2026Q1价值线=281.92, 现价/价值=0.32, akshare东方财富扣非净利润同比=1476.0%, 市值=691.4亿",0.06594696080732221,0.45344000000000007,691.4152263300148,281.9175871708971,0.322221826994189,1.63,1.63,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,97.4,价值线左侧确认,90.84,90.84,90.84,90.84,2026-05-19,2026-05-19,0.0,0.0,14.7603645238059,,,,,128.4,True,1,theme
sh.600961,株冶集团,C32有色金属冶炼和压延加工业,资源金属,VALUE,基本价值线,27.78,100.0,100.0,95.0,75.0,94.4,97.7,85.8,66.1,"2026Q1价值线=59.75, 现价/价值=0.46, akshare东方财富扣非净利润同比=323.4%, 市值=311.4亿",0.38346613545816743,0.3924812030075189,311.3723081638246,59.75436251987299,0.4649032945629866,1.3,1.3,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,97.7,价值线左侧确认,27.78,27.78,27.78,27.78,2026-05-19,2026-05-19,0.0,0.0,3.2341697040152297,,,,,127.826,True,2,theme
sz.002222,福晶科技,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,105.45,50.0,0.0,62.4,100.0,100.0,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=23.2%/52.3%, 相对60日=51.3%, 量能20/120=1.96, 市值=495.9亿",0.23218041598504335,0.5227436823104694,495.9127309453999,10.911309200695758,9.664284831491715,0.5576,0.5576,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,105.45,105.45,105.45,105.45,2026-05-19,2026-05-19,0.0,0.0,,95.0,0.20407298544078234,0.5127725147335853,1.96482166768895,127.424,True,3,theme
sz.300620,光库科技,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,269.93,50.0,0.0,76.5,99.5,100.0,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=16.8%/49.2%, 相对60日=48.2%, 量能20/120=1.31, 市值=672.7亿",0.16822470354020602,0.49173804918485775,672.6570070257053,45.97206147466151,5.871609654676411,0.5616,0.5616,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,269.93,269.93,269.93,269.93,2026-05-19,2026-05-19,0.0,0.0,,95.0,0.140117272995945,0.48176688160797365,1.3071307543080988,127.424,True,4,theme
sz.002475,立讯精密,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,72.4,50.0,0.0,79.7,100.0,100.0,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=19.8%/40.1%, 相对60日=39.1%, 量能20/120=1.85, 市值=5260.6亿",0.1976840363937138,0.40065776745985704,5260.641908174667,34.59244430941571,2.0929425903648404,1.95,1.95,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,72.4,72.4,72.4,72.4,2026-05-19,2026-05-19,0.0,0.0,,95.0,0.16957660584945278,0.39068659988297294,1.846818218451713,127.424,True,5,theme
sh.688629,华丰科技,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,147.24,50.0,0.0,65.5,97.6,100.0,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=11.6%/55.1%, 相对60日=54.1%, 量能20/120=1.63, 市值=675.9亿",0.1164695177434032,0.5507109004739337,675.9076551451,34.63290141957221,4.251448592660786,0.72,0.72,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,147.24,147.24,147.24,147.24,2026-05-19,2026-05-19,0.0,0.0,,95.0,0.08836208719914218,0.5407397328970496,1.6269347841923671,127.347,True,6,theme
sz.300870,欧陆通,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,410.51,50.0,0.0,57.5,99.2,92.7,0.0,93.7,0.0,"半导体/电子右侧动量, 20/60日涨幅=15.8%/72.2%, 相对60日=71.2%, 量能20/120=1.34, 市值=431.0亿",0.15802984569381362,0.7217934737018707,430.9855085909505,16.90678056600798,24.28079068024063,2.14,2.14,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,93.7,主题右侧动量,410.51,410.51,410.51,410.51,2026-05-19,2026-05-19,0.0,0.0,,93.7,0.1299224151495526,0.7118223061249866,1.3409944212608265,127.274,True,7,theme
sh.688630,芯碁微装,C35专用设备制造业,半导体/电子,VALUE,基本价值线,279.3,50.0,0.0,92.5,100.0,88.9,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=17.9%/68.4%, 相对60日=67.4%, 量能20/120=1.57, 市值=365.8亿",0.17937674182923757,0.6837472871955632,365.77533589929385,61.476943206708924,4.54316668056977,2.11,2.11,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,279.3,279.3,279.3,279.3,2026-05-19,2026-05-19,0.0,0.0,,95.0,0.15126931128497656,0.6737761196186791,1.5701925815734918,127.273,True,8,theme
sz.300475,香农芯创,F51批发业,半导体/电子,VALUE,基本价值线,188.88,100.0,100.0,90.8,100.0,100.0,96.8,95.4,72.1,"2026Q1价值线=1002.06, 现价/价值=0.19, akshare东方财富扣非净利润同比=8675.3%, 市值=867.5亿",0.20459183673469372,0.37587412587412583,867.4504279383507,1002.0572743577579,0.18849221978959,1.13,1.13,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,96.8,价值线左侧确认,188.88,188.88,188.88,188.88,2026-05-19,2026-05-19,0.0,0.0,86.752584446244,,,,,126.91,True,9,theme
sz.301219,腾远钴业,C32有色金属冶炼和压延加工业,资源金属,VALUE,基本价值线,83.12,100.0,100.0,100.0,67.1,85.2,98.5,59.2,43.6,"2026Q1价值线=200.24, 现价/价值=0.42, akshare东方财富扣非净利润同比=350.7%, 市值=244.9亿",0.03938977116418663,0.24936119044040295,244.9287526758746,200.24301556107963,0.41509562651710125,3.7,3.7,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,98.5,价值线左侧确认,83.12,83.12,83.12,83.12,2026-05-19,2026-05-19,0.0,0.0,3.50695547239826,,,,,126.732,True,10,theme
