bucket_set,sort,ptv_min,ptv_max,ret20_min,ret20_max,ret60_min,ret60_max,vol_min,vol_max,score_min,liq_min,sample,count,train_ret_count,train_mean_return,train_median_return,train_win_rate,min_return,max_return,train_names,codes,validate_ret_count,validate_mean_return,validate_median_return,validate_win_rate,validate_names,overfit_gap,joint_score
value_pullback,value,,,,,0.2,1.5,,,,,train,20,19,0.5271375942463422,0.2541603630862328,0.6842105263157895,-0.220486111111111,5.046035995587445,仕佳光子、仕佳光子、成都先导、伟测科技、捷佳伟创、运达股份、微导纳米、新强联,"sh.688313,sh.688313,sh.688222,sh.688372,sz.300724,sz.300772,sh.688147,sz.300850",5,0.4830526860681449,0.523718763235917,0.8,欧科亿、香农芯创、华锐精密、金博股份、翔丰华,0.044084908178197324,0.5199305018006142
value_pullback,hybrid,,,,,0.2,1.5,,,,,train,20,19,0.5502457417876796,0.2541603630862328,0.6842105263157895,-0.4109851606618088,5.046035995587445,阳光电源、捷佳伟创、仕佳光子、兴齐眼药、仕佳光子、运达股份、三生国健、微导纳米,"sz.300274,sz.300724,sh.688313,sz.300573,sh.688313,sz.300772,sh.688336,sh.688147",5,0.4830526860681449,0.523718763235917,0.8,香农芯创、欧科亿、华锐精密、翔丰华、金博股份,0.06719305571953471,0.5164642796694137
value_pullback,momentum,,,,,0.2,1.5,,,,,train,20,19,0.446159017538291,0.0430586488492947,0.5789473684210527,-0.2891869237217099,5.046035995587445,仕佳光子、捷佳伟创、仕佳光子、阳光电源、成都先导、英科医疗、微导纳米、新强联,"sh.688313,sz.300724,sh.688313,sz.300274,sh.688222,sz.300677,sh.688147,sz.300850",5,0.4830526860681449,0.523718763235917,0.8,欧科亿、华锐精密、香农芯创、金博股份、翔丰华,0.0,0.4843516651023294
all,momentum,,,0.0,0.35,,,,,,60.0,train,20,17,0.1504454905161899,0.0472696673168642,0.5882352941176471,-0.3563814849380875,0.9118628978410864,同飞股份、冰川网络、阳光电源、成都先导、微导纳米、运达股份、中科电气、扬杰科技,"sz.300990,sz.300533,sz.300274,sh.688222,sh.688147,sz.300772,sz.300035,sz.300373",20,0.3813940055160261,0.373369294055635,0.8,莱特光电、欧科亿、佰维存储、南亚新材、欧陆通、芯碁微装、广钢气体、新锐股份,0.0,0.4127442049538122
all,momentum,,,0.0,0.35,0.2,1.5,,,,60.0,train,20,17,0.1504454905161899,0.0472696673168642,0.5882352941176471,-0.3563814849380875,0.9118628978410864,同飞股份、冰川网络、阳光电源、成都先导、微导纳米、运达股份、中科电气、扬杰科技,"sz.300990,sz.300533,sz.300274,sh.688222,sh.688147,sz.300772,sz.300035,sz.300373",20,0.3813940055160261,0.373369294055635,0.8,莱特光电、欧科亿、佰维存储、南亚新材、欧陆通、芯碁微装、广钢气体、新锐股份,0.0,0.4127442049538122
right_momentum,momentum,,,,,,,,,,60.0,train,19,17,0.33848346615165353,0.167459539825582,0.5882352941176471,-0.3563814849380875,3.402231391399943,胜宏科技、同飞股份、冰川网络、万辰集团、蓝思科技、乐鑫科技、扬杰科技、南微医学,"sz.300476,sz.300990,sz.300533,sz.300972,sz.300433,sh.688018,sz.300373,sh.688029",20,0.3883396921649461,0.22522634419753323,0.85,中船特气、华特气体、莱特光电、朗科科技、天承科技、长盈通、仕佳光子、联瑞新材,0.0,0.40366793869271644
right_momentum,momentum,,,,,,,0.8,,,60.0,train,19,17,0.33848346615165353,0.167459539825582,0.5882352941176471,-0.3563814849380875,3.402231391399943,胜宏科技、同飞股份、冰川网络、万辰集团、蓝思科技、乐鑫科技、扬杰科技、南微医学,"sz.300476,sz.300990,sz.300533,sz.300972,sz.300433,sh.688018,sz.300373,sh.688029",20,0.3864265783950158,0.22522634419753323,0.85,中船特气、华特气体、莱特光电、朗科科技、天承科技、长盈通、仕佳光子、联瑞新材,0.0,0.4029983488732408
right_momentum,momentum,,,,,,,,,70.0,60.0,train,15,13,0.3503576453485015,0.167459539825582,0.5384615384615384,-0.3563814849380875,3.402231391399943,胜宏科技、同飞股份、冰川网络、万辰集团、蓝思科技、乐鑫科技、扬杰科技、南微医学,"sz.300476,sz.300990,sz.300533,sz.300972,sz.300433,sh.688018,sz.300373,sh.688029",20,0.3883396921649461,0.22522634419753323,0.85,中船特气、华特气体、莱特光电、朗科科技、天承科技、长盈通、仕佳光子、联瑞新材,0.0,0.3986905631271056
all,value,,,-0.2,0.2,0.0,0.8,0.8,,,,train,20,19,0.10318815971892292,0.0768242847089866,0.6842105263157895,-0.3776825353147141,0.9289514412693652,锦浪科技、新强联、中科电气、碧水源、成都先导、中国通号、时代电气、时代电气,"sz.300763,sz.300850,sz.300035,sz.300070,sh.688222,sh.688009,sh.688187,sh.688187",13,0.3680113675995071,0.2968943775617403,0.7692307692307693,麦捷科技、宇瞳光学、明阳电路、聚飞光电、华虹公司、铂科新材、华丰科技、芯碁微装,0.0,0.39835688377280487
right_momentum,momentum,,,,,,,0.8,,70.0,60.0,train,15,13,0.3503576453485015,0.167459539825582,0.5384615384615384,-0.3563814849380875,3.402231391399943,胜宏科技、同飞股份、冰川网络、万辰集团、蓝思科技、乐鑫科技、扬杰科技、南微医学,"sz.300476,sz.300990,sz.300533,sz.300972,sz.300433,sh.688018,sz.300373,sh.688029",20,0.3864265783950158,0.22522634419753323,0.85,中船特气、华特气体、莱特光电、朗科科技、天承科技、长盈通、仕佳光子、联瑞新材,0.0,0.39802097330763
all,value,,,0.0,0.35,,,0.8,,,60.0,train,20,17,0.7724926506451459,0.3939874840417952,0.7058823529411765,-0.3776825353147141,4.188522004581535,长芯博创、长川科技、新强联、成都先导、生益电子、时代电气、运达股份、微导纳米,"sz.300548,sz.300604,sz.300850,sh.688222,sh.688183,sh.688187,sz.300772,sh.688147",20,0.3637009054591314,0.2557064920105434,0.9,佰维存储、锐科激光、麦捷科技、南亚新材、宇瞳光学、路维光电、明阳电路、聚飞光电,0.4087917451860145,0.3945895360358166
