date,count,change,up_streak,down_streak,signal
2026-05-27,42,0,0,0,观察
2026-05-28,45,3,1,0,观察
2026-05-29,48,3,2,0,观察
2026-06-01,52,4,3,0,结构初步转好
2026-06-02,57,5,4,0,结构初步转好
2026-06-03,60,3,5,0,结构转好确认，右侧成功率提升
2026-06-04,58,-2,0,1,观察
2026-06-05,55,-3,0,2,观察
2026-06-08,51,-4,0,3,结构初步转坏
2026-06-09,48,-3,0,4,结构初步转坏
2026-06-10,46,-2,0,5,结构转坏确认，右侧成功率下降
2026-06-11,49,3,1,0,观察
2026-06-12,53,4,2,0,观察
2026-06-15,58,5,3,0,结构初步转好
2026-06-16,64,6,4,0,结构初步转好
2026-06-17,70,6,5,0,结构转好确认，右侧成功率提升
2026-06-18,74,4,6,0,结构转好确认，右侧成功率提升
2026-06-19,72,-2,0,1,观察
2026-06-22,69,-3,0,2,观察
2026-06-23,66,-3,0,3,结构初步转坏
2026-06-24,63,-3,0,4,结构初步转坏
