date,count,change,up_streak,down_streak,signal
2026-05-26,2,0,0,0,观察
2026-05-27,2,0,0,0,观察
2026-05-28,7,5,1,0,观察
2026-05-29,9,2,2,0,观察
2026-06-01,5,-4,0,1,观察
2026-06-02,4,-1,0,2,观察
2026-06-03,3,-1,0,3,结构初步转坏
2026-06-04,2,-1,0,4,结构初步转坏
2026-06-05,3,1,1,0,观察
2026-06-08,1,-2,0,1,观察
2026-06-09,2,1,1,0,观察
2026-06-10,2,0,0,0,观察
2026-06-11,3,1,1,0,观察
2026-06-12,1,-2,0,1,观察
2026-06-15,1,0,0,0,观察
2026-06-16,0,-1,0,1,观察
2026-06-17,1,1,1,0,观察
2026-06-18,2,1,2,0,观察
2026-06-22,12,10,3,0,结构初步转好
2026-06-23,9,-3,0,1,观察
2026-06-24,16,7,1,0,观察
