date,base_count,count,change,up_streak,down_streak,signal
2026-05-26,23,0,0,0,0,观察
2026-05-27,12,0,0,0,0,观察
2026-05-28,21,4,4,1,0,观察
2026-05-29,6,4,0,0,0,观察
2026-06-01,9,3,-1,0,1,观察
2026-06-02,11,3,0,0,0,观察
2026-06-03,11,3,0,0,0,观察
2026-06-04,14,3,0,0,0,观察
2026-06-05,6,3,0,0,0,观察
2026-06-08,6,1,-2,0,1,观察
2026-06-09,8,1,0,0,0,观察
2026-06-10,9,0,-1,0,1,观察
2026-06-11,12,0,0,0,0,观察
2026-06-12,10,1,1,1,0,观察
2026-06-15,15,1,0,0,0,观察
2026-06-16,20,2,1,1,0,观察
2026-06-17,26,4,2,2,0,观察
2026-06-18,38,4,0,0,0,观察
2026-06-22,53,6,2,1,0,观察
2026-06-23,29,4,-2,0,1,观察
2026-06-24,38,5,1,1,0,观察
