date,base_count,count,change,up_streak,down_streak,signal
2026-05-27,122,42,0,0,0,观察
2026-05-28,125,45,3,1,0,观察
2026-05-29,128,48,3,2,0,观察
2026-06-01,132,52,4,3,0,结构初步转好
2026-06-02,137,57,5,4,0,结构初步转好
2026-06-03,140,60,3,5,0,结构转好确认，右侧成功率提升
2026-06-04,138,58,-2,0,1,观察
2026-06-05,135,55,-3,0,2,观察
2026-06-08,131,51,-4,0,3,结构初步转坏
2026-06-09,128,48,-3,0,4,结构初步转坏
2026-06-10,126,46,-2,0,5,结构转坏确认，右侧成功率下降
2026-06-11,129,49,3,1,0,观察
2026-06-12,133,53,4,2,0,观察
2026-06-15,138,58,5,3,0,结构初步转好
2026-06-16,144,64,6,4,0,结构初步转好
2026-06-17,150,70,6,5,0,结构转好确认，右侧成功率提升
2026-06-18,154,74,4,6,0,结构转好确认，右侧成功率提升
2026-06-19,152,72,-2,0,1,观察
2026-06-22,149,69,-3,0,2,观察
2026-06-23,146,66,-3,0,3,结构初步转坏
2026-06-24,143,63,-3,0,4,结构初步转坏
