code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,eps_excl,eps_excl_raw,eps_adjustment_factor,eps_excl_source,current_valuation,low_avg,pepb_ratio,valuation_percentile,selection_bucket,valuation_state,total_score,selection_mode,end_quote_time,end_quote_trade_date,buy_close_raw,end_close_raw,raw_return,qfq_return,earnings_yoy,buy_close_qfq,end_close_qfq,buy_trade_date,end_trade_date,source_layer,theme_momentum_score,portfolio_score,final_selected,final_rank,portfolio_profile
sh.688313,仕佳光子,C39计算机、通信和其他电子设备制造业,AI算力/CPO,VALUE,基本价值线,83.49,92.8,92.8,50.2,85.0,97.2,0.0,94.2,0.0,"AI算力/CPO右侧动量, 20/60日涨幅=52.9%/140.2%, 相对60日=126.2%, 量能20/120=1.99, 市值=377.4亿",0.529120879120879,1.4018987341772151,377.39278515709856,139.0050124785911,0.6006258228483575,0.1065,0.1065,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,94.2,主题右侧动量,,,83.49,173.42,1.0771349862258952,1.0771349862258952,,83.49,173.42,,,theme_momentum,94.2,128.118,True,1,theme
sz.300035,中科电气,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,21.4,75.0,45.3,67.5,100.0,79.6,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=30.3%/45.3%, 相对60日=31.3%, 量能20/120=1.68, 市值=147.7亿",0.3032886723507915,0.4528173794976238,147.6501993088112,22.93355946173439,0.9331303339853022,0.5005,0.5005,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,,,21.4,18.77,-0.1228971962616821,-0.1228971962616821,,21.4,18.77,,,theme_momentum,95.0,124.274,True,2,theme
sz.002463,沪电股份,C39计算机、通信和其他电子设备制造业,AI算力/CPO,VALUE,基本价值线,69.8,50.0,0.0,94.5,100.0,100.0,0.0,95.0,0.0,"AI算力/CPO右侧动量, 20/60日涨幅=29.4%/91.7%, 相对60日=77.7%, 量能20/120=1.55, 市值=1336.1亿",0.2940304041527624,0.91705575391376,1336.1287839603067,26.29500771805793,2.6544962735289586,1.3302,1.3302,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,,,69.8,104.26,0.4936962750716334,0.5006517961467736,,69.476477,104.26,,,theme_momentum,95.0,123.0,True,3,theme
sz.002938,鹏鼎控股,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,58.49,50.0,0.0,92.5,100.0,94.0,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=17.9%/95.1%, 相对60日=81.1%, 量能20/120=1.83, 市值=1358.9亿",0.1789961701269906,0.9509673115410272,1358.882560311937,36.56239752869812,1.599730979186765,1.52,1.52,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,,,58.49,89.23,0.5255599247734655,0.5255599247734655,,58.49,89.23,,,theme_momentum,95.0,123.0,True,4,theme
sz.300476,胜宏科技,C39计算机、通信和其他电子设备制造业,AI算力/CPO,VALUE,基本价值线,270.37,50.0,0.0,88.2,100.0,100.0,0.0,95.0,0.0,"AI算力/CPO右侧动量, 20/60日涨幅=43.4%/168.2%, 相对60日=154.2%, 量能20/120=1.85, 市值=2320.3亿",0.4340953694372249,1.6822420634920636,2320.289579085414,74.63627075648351,3.6225014628897902,1.33,1.33,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,,,270.37,346.2,0.2804675074897362,0.2887399290945944,,268.63449497,346.2,,,theme_momentum,95.0,123.0,True,5,theme
sh.603893,瑞芯微,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,233.99,50.0,0.0,87.2,100.0,98.0,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=43.6%/56.4%, 相对60日=42.4%, 量能20/120=1.71, 市值=976.6亿",0.4358738340697103,0.5641042780748664,976.5808773480916,47.02510180154252,4.975853130259989,1.29,1.29,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,,,233.99,181.2,-0.2256079319629045,-0.2243311810869735,,233.60485246,181.2,,,theme_momentum,95.0,123.0,True,6,theme
sh.603019,中科曙光,C39计算机、通信和其他电子设备制造业,AI算力/CPO,VALUE,基本价值线,92.14,50.0,0.0,86.0,100.0,100.0,0.0,95.0,0.0,"AI算力/CPO右侧动量, 20/60日涨幅=32.9%/48.9%, 相对60日=34.9%, 量能20/120=2.38, 市值=1344.5亿",0.3288145370637438,0.4885298869143781,1344.5387175949002,28.81505972767249,3.1976334899460053,0.94,0.94,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,,,92.14,98.7,0.0711960060777079,0.0720665240952731,,92.06518232,98.7,,,theme_momentum,95.0,123.0,True,7,theme
sz.300570,太辰光,C39计算机、通信和其他电子设备制造业,AI算力/CPO,VALUE,基本价值线,142.15,50.0,0.0,82.5,100.0,100.0,0.0,95.0,0.0,"AI算力/CPO右侧动量, 20/60日涨幅=23.8%/55.4%, 相对60日=41.4%, 量能20/120=1.85, 市值=322.5亿",0.2379169206653313,0.5538915609969393,322.5085894243091,32.71021769948324,4.3457368980532864,1.1,1.1,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,,,142.15,160.33,0.1278930706999648,0.1278930706999648,,142.15,160.33,,,theme_momentum,95.0,123.0,True,8,theme
sz.300433,蓝思科技,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,32.34,50.0,0.0,74.2,100.0,100.0,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=44.4%/46.7%, 相对60日=32.7%, 量能20/120=1.90, 市值=1609.9亿",0.4443948191156768,0.4673321234119785,1609.9136964154998,18.95122544521788,1.7064859522401294,0.66,0.66,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,,,32.34,38.7,0.1966604823747679,0.2006791555082543,,32.23175802,38.7,,,theme_momentum,95.0,123.0,True,9,theme
sh.600183,生益科技,C39计算机、通信和其他电子设备制造业,AI算力/CPO,VALUE,基本价值线,54.87,50.0,0.0,72.8,100.0,93.0,0.0,95.0,0.0,"AI算力/CPO右侧动量, 20/60日涨幅=33.5%/97.7%, 相对60日=83.7%, 量能20/120=1.83, 市值=1294.5亿",0.3347117489661881,0.9772972972972972,1294.5429023474112,17.019357297290142,3.2239760316176285,0.71,0.71,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,,,54.87,98.95,0.8033533807180611,0.8162578930481683,,54.48014865,98.95,,,theme_momentum,95.0,123.0,True,10,theme
sz.002156,通富微电,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,34.88,50.0,0.0,55.2,100.0,98.7,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=28.7%/45.5%, 相对60日=31.5%, 量能20/120=2.49, 市值=528.4亿",0.2866101069715974,0.4545454545454546,528.3785858058928,15.167001340021006,2.299729473087242,0.41,0.41,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,,,34.88,58.07,0.6648509174311925,0.6648509174311925,,34.88,58.07,,,theme_momentum,95.0,123.0,True,11,theme
sz.000063,中兴通讯,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,48.0,50.0,0.0,52.2,100.0,100.0,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=41.7%/48.0%, 相对60日=34.0%, 量能20/120=2.64, 市值=2299.2亿",0.4171833480956599,0.4796547472256474,2299.2,26.305615959890726,1.8247054192985863,1.29,1.29,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,,,48.0,37.51,-0.2185416666666667,-0.2185416666666667,,48.0,37.51,,,theme_momentum,95.0,123.0,True,12,theme
sz.002384,东山精密,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,68.82,50.0,0.0,47.5,100.0,100.0,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=29.1%/116.4%, 相对60日=102.4%, 量能20/120=1.57, 市值=1166.9亿",0.2909397861564433,1.1641509433962265,1166.8590434904452,18.140144461636964,3.793795586663685,0.53,0.53,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,,,68.82,211.25,2.069601859924441,2.069601859924441,,68.82,211.25,,,theme_momentum,95.0,123.0,True,13,theme
sh.688347,华虹公司,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,85.71,50.0,0.0,16.0,100.0,93.7,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=35.8%/70.3%, 相对60日=56.3%, 量能20/120=2.96, 市值=1501.6亿",0.3583201267828841,0.7032988871224164,1501.6425391391567,25.68353351926082,3.337157635872946,0.14,0.14,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,,,85.71,147.8,0.7244195543110492,0.7244195543110492,,85.71,147.8,,,theme_momentum,95.0,123.0,True,14,theme
sz.002484,江海股份,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,36.64,50.0,0.0,49.2,100.0,89.9,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=40.0%/89.2%, 相对60日=75.2%, 量能20/120=2.32, 市值=309.4亿",0.3995416348357525,0.8915849251419721,309.38027088659044,14.951829180639631,2.4505362893955,0.7259,0.7259,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,,,36.64,53.35,0.4560589519650655,0.4560589519650655,,36.64,53.35,,,theme_momentum,95.0,122.993,True,15,theme
sz.300602,飞荣达,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,32.1,50.0,0.0,69.2,100.0,89.3,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=30.2%/68.5%, 相对60日=54.5%, 量能20/120=3.14, 市值=233.8亿",0.3017031630170317,0.6850393700787403,233.8220150033333,11.939533640546111,2.6885472218939825,0.27,0.27,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,,,32.1,38.79,0.2084112149532708,0.2084112149532708,,32.1,38.79,,,theme_momentum,95.0,122.948,True,16,theme
sh.603920,世运电路,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,39.55,50.0,0.0,71.2,100.0,88.4,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=19.8%/49.8%, 相对60日=35.8%, 量能20/120=1.62, 市值=244.7亿",0.1984848484848485,0.4981060606060605,244.65935329358012,21.6164190221619,1.829627745439796,1.06,1.06,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,,,39.55,63.98,0.6176991150442479,0.6292849603976352,,39.26875995,63.98,,,theme_momentum,95.0,122.88,True,17,theme
sz.300409,道氏技术,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,22.62,50.0,0.0,52.7,100.0,88.3,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=29.7%/60.5%, 相对60日=46.5%, 量能20/120=1.86, 市值=131.3亿",0.2970183486238531,0.6053938963804117,131.25752336733302,14.605967363821083,1.5486820856542265,0.2081,0.2081,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,,,22.62,25.07,0.108311229000884,0.108311229000884,,22.62,25.07,,,theme_momentum,95.0,122.873,True,18,theme
sz.300308,中际旭创,C39计算机、通信和其他电子设备制造业,AI算力/CPO,VALUE,基本价值线,406.1,50.0,0.0,100.0,85.0,100.0,0.0,94.8,0.0,"AI算力/CPO右侧动量, 20/60日涨幅=94.8%/274.1%, 相对60日=260.1%, 量能20/120=1.89, 市值=4455.1亿",0.9484694367143272,2.741133118378628,4455.10716229344,99.26331302529344,4.091138887299894,4.62,4.62,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,94.8,主题右侧动量,,,406.1,1045.0,1.5732578182713617,1.5789469752988707,,405.2041434,1045.0,,,theme_momentum,94.8,122.743,True,19,theme
sz.300502,新易盛,C39计算机、通信和其他电子设备制造业,AI算力/CPO,VALUE,基本价值线,388.5,50.0,0.0,92.5,85.0,100.0,0.0,94.8,0.0,"AI算力/CPO右侧动量, 20/60日涨幅=110.6%/285.1%, 相对60日=271.2%, 量能20/120=1.99, 市值=2755.3亿",1.105691056910569,2.8514920194309505,2755.306490698158,193.7041707659315,2.0056356993441105,3.99,3.99,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,94.8,主题右侧动量,,,388.5,599.92,0.5441956241956241,0.5441956241956241,,388.5,599.92,,,theme_momentum,94.8,122.743,True,20,theme
sz.300394,天孚通信,C39计算机、通信和其他电子设备制造业,AI算力/CPO,VALUE,基本价值线,222.16,50.0,0.0,91.4,85.0,100.0,0.0,94.8,0.0,"AI算力/CPO右侧动量, 20/60日涨幅=112.7%/216.5%, 相对60日=202.5%, 量能20/120=2.08, 市值=1230.5亿",1.126747080222095,2.1646723646723647,1230.5141259090503,38.1199113676206,5.8279254077359885,2.3723,2.3723,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,94.8,主题右侧动量,,,222.16,384.95,0.7327601728483975,0.7375906749246883,,221.5423952,384.95,,,theme_momentum,94.8,122.743,True,21,theme
sh.601138,工业富联,C39计算机、通信和其他电子设备制造业,AI算力/CPO,VALUE,基本价值线,55.62,50.0,0.0,84.3,85.0,100.0,0.0,94.8,0.0,"AI算力/CPO右侧动量, 20/60日涨幅=68.7%/172.2%, 相对60日=158.3%, 量能20/120=2.76, 市值=11036.3亿",0.6869881710646042,1.7224669603524227,11036.25992135593,23.77178361423712,2.339748708072907,1.18,1.18,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,94.8,主题右侧动量,,,55.62,68.98,0.2402013664149587,0.2469711729127017,,55.31803902,68.98,,,theme_momentum,94.8,122.743,True,22,theme
sz.002281,光迅科技,C39计算机、通信和其他电子设备制造业,AI算力/CPO,VALUE,基本价值线,74.19,50.0,0.0,82.8,85.0,100.0,0.0,94.8,0.0,"AI算力/CPO右侧动量, 20/60日涨幅=48.6%/66.9%, 相对60日=52.9%, 量能20/120=2.26, 市值=576.8亿",0.4864756561811261,0.6686909581646423,576.7655838581926,25.71036149869684,2.8856070344930944,0.81,0.81,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,94.8,主题右侧动量,,,74.19,209.9,1.829222267151908,1.829222267151908,,74.19,209.9,,,theme_momentum,94.8,122.743,True,23,theme
sh.688008,澜起科技,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,124.22,50.0,0.0,82.5,85.0,100.0,0.0,94.8,0.0,"半导体/电子右侧动量, 20/60日涨幅=47.6%/48.1%, 相对60日=34.1%, 量能20/120=2.13, 市值=1409.7亿",0.4759980988593155,0.4807485993562999,1409.6603031038214,32.63913989597449,3.805860093002038,1.1,1.1,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,94.8,主题右侧动量,,,124.22,247.99,0.9963773949444534,0.9992543219136872,,124.04124742,247.99,,,theme_momentum,94.8,122.743,True,24,theme
sz.000988,华工科技,C39计算机、通信和其他电子设备制造业,AI算力/CPO,VALUE,基本价值线,75.26,50.0,0.0,80.7,85.0,100.0,0.0,94.8,0.0,"AI算力/CPO右侧动量, 20/60日涨幅=50.3%/66.8%, 相对60日=52.8%, 量能20/120=2.36, 市值=758.9亿",0.5033959248901319,0.6683662159166484,758.8820152661888,23.165111104406133,3.248851242750359,0.89,0.89,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,94.8,主题右侧动量,,,75.26,147.38,0.9582779697050224,0.9582779697050224,,75.26,147.38,,,theme_momentum,94.8,122.743,True,25,theme
sh.688041,海光信息,C39计算机、通信和其他电子设备制造业,AI算力/CPO,VALUE,基本价值线,208.96,50.0,0.0,72.3,85.0,100.0,0.0,94.8,0.0,"AI算力/CPO右侧动量, 20/60日涨幅=46.6%/53.5%, 相对60日=39.5%, 量能20/120=2.39, 市值=4864.4亿",0.4655631925936316,0.535003305663704,4864.4217657344,19.480849869583466,10.726431413357426,0.78,0.78,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,94.8,主题右侧动量,,,208.96,303.63,0.453053215926493,0.453540151877372,,208.8899984,303.63,,,theme_momentum,94.8,122.743,True,26,theme
sz.002402,和而泰,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,40.0,50.0,0.0,64.4,85.0,100.0,0.0,94.8,0.0,"半导体/电子右侧动量, 20/60日涨幅=55.4%/108.4%, 相对60日=94.4%, 量能20/120=2.67, 市值=363.6亿",0.5540015540015542,1.0844189682126104,363.6168094605368,12.846250774607691,3.113748960830289,0.3763,0.3763,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,94.8,主题右侧动量,,,40.0,31.68,-0.2079999999999999,-0.2079999999999999,,40.0,31.68,,,theme_momentum,94.8,122.743,True,27,theme
sz.002241,歌尔股份,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,35.68,50.0,0.0,37.8,85.0,100.0,0.0,94.8,0.0,"半导体/电子右侧动量, 20/60日涨幅=56.3%/60.8%, 相对60日=46.8%, 量能20/120=2.20, 市值=1202.7亿",0.5628558913710031,0.60793150067598,1202.6703715897463,15.902411096929452,2.2436849218977457,0.71,0.71,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,94.8,主题右侧动量,,,35.68,25.81,-0.2766255605381166,-0.2729284014595383,,35.4985672,25.81,,,theme_momentum,94.8,122.743,True,28,theme
sz.002600,领益智造,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,15.67,50.0,0.0,34.8,85.0,100.0,0.0,94.8,0.0,"半导体/电子右侧动量, 20/60日涨幅=71.3%/84.8%, 相对60日=70.8%, 量能20/120=3.20, 市值=1107.8亿",0.7125683060109289,0.8478773584905659,1107.8450571188826,5.335178602123694,2.937108795900943,0.23,0.23,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,94.8,主题右侧动量,,,15.67,17.07,0.0893426930440333,0.0907770648843562,,15.64939395,17.07,,,theme_momentum,94.8,122.743,True,29,theme
sz.002104,恒宝股份,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,28.83,50.0,0.0,22.5,85.0,100.0,0.0,94.8,0.0,"半导体/电子右侧动量, 20/60日涨幅=54.3%/137.9%, 相对60日=123.9%, 量能20/120=2.11, 市值=202.7亿",0.5433618843683083,1.3787128712871288,202.70729101705052,3.487997357512455,8.26548791325942,0.0929,0.0929,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,94.8,主题右侧动量,,,28.83,13.68,-0.5254942767950053,-0.5254942767950053,,28.83,13.68,,,theme_momentum,94.8,122.743,True,30,theme
sh.600585,海螺水泥,C30非金属矿物制品业,资源金属,VALUE,基本价值线,24.31,100.0,100.0,71.9,62.7,79.6,88.1,54.2,64.1,"Q1价值线=54.14, 现价/价值=0.45, akshare东方财富扣非净利润同比=31.8%, 市值=1278.8亿",0.0362318840579709,0.065293602103418,1278.8282445714285,54.13569268619224,0.4490567829420324,1.4,1.4,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,88.1,价值线左侧确认,2026-05-19 16:11:45,2026-05-19,24.31,20.04,-0.1756478815302344,-0.1670872038110039,0.31813183776866,24.06014182,20.04,2025-09-01,2026-05-18,base,,113.704,True,31,theme
sz.000719,中原传媒,R86新闻和出版业,R86新闻和出版业,VALUE,基本价值线,12.52,100.0,100.0,93.0,49.0,40.9,91.6,70.1,78.5,"Q1价值线=30.05, 现价/价值=0.42, akshare东方财富扣非净利润同比=54.8%, 市值=128.3亿",-0.0450038138825323,-0.0471841704718417,128.27050621507868,30.04850289127609,0.4166596933398269,1.22,1.22,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,91.6,价值线左侧确认,2026-05-19 15:34:33,2026-05-19,12.52,13.85,0.1062300319488818,0.1062300319488818,0.54823629449468,12.52,13.85,2025-09-01,2026-05-18,base,,113.634,True,32,theme
sz.002432,九安医疗,C35专用设备制造业,医药医疗,VALUE,基本价值线,39.64,100.0,100.0,78.7,35.9,66.5,89.2,62.9,73.4,"Q1价值线=94.39, 现价/价值=0.42, akshare东方财富扣非净利润同比=26.3%, 市值=173.4亿",0.0135515213500383,0.0464625131995775,173.4437819084066,94.39280647447278,0.4199472553103937,3.8408,3.8408,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,89.2,价值线左侧确认,2026-05-19 15:34:00,2026-05-19,39.64,73.44,0.8526740665993944,0.8526740665993944,0.26273993642527,39.64,73.44,2025-09-01,2026-05-18,base,,113.595,True,33,theme
