code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,eps_excl,eps_excl_raw,eps_adjustment_factor,eps_excl_source,current_valuation,low_avg,pepb_ratio,valuation_percentile,selection_bucket,valuation_state,total_score,selection_mode,earnings_yoy,buy_close_raw,end_close_raw,buy_close_qfq,end_close_qfq,raw_return,qfq_return
sh.600362,江西铜业,C32有色金属冶炼和压延加工业,资源金属,VALUE,基本价值线,21.79,100.0,100.0,84.9,53.1,68.8,91.6,45.1,48.8,"Q1价值线=55.72, 现价/价值=0.39, akshare东方财富扣非净利润同比=37.0%, 市值=752.5亿",-0.04680664916885391,0.03712517848643482,752.5131476183614,55.71935131218841,0.3910670079038324,2.38,2.38,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,91.6,价值线左侧确认,0.37040625232194996,21.79,45.44,20.9377931,45.44,1.0853602569986234,1.1702382759718835
sh.600757,长江传媒,R86新闻和出版业,R86新闻和出版业,VALUE,基本价值线,9.76,100.0,100.0,83.0,66.8,48.6,88.9,73.0,79.7,"Q1价值线=20.82, 现价/价值=0.47, akshare东方财富扣非净利润同比=54.5%, 市值=118.9亿",0.0966292134831459,0.100338218714769,118.85730837065367,20.820679049769616,0.4687647303274672,0.82,0.82,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,88.9,价值线左侧确认,0.5445817036291001,9.76,8.32,9.35579936,8.32,-0.14754098360655732,-0.11071201082277171
sh.600482,中国动力,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,VALUE,基本价值线,21.63,100.0,100.0,76.5,27.6,62.7,88.0,58.5,70.2,"Q1价值线=56.79, 现价/价值=0.38, akshare东方财富扣非净利润同比=600.4%, 市值=476.1亿",-0.013229927007299414,-0.12108898821617231,476.0921345273249,56.79080600433402,0.3808715093487015,0.56,0.56,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,88.0,价值线左侧确认,6.00411576914536,21.63,35.98,21.3561642,35.98,0.6634304207119741,0.684759475674007
sh.600487,亨通光电,C38电气机械和器材制造业,C38电气机械和器材制造业,VALUE,基本价值线,15.77,91.8,91.8,78.9,32.9,72.1,85.3,62.4,71.2,"Q1价值线=25.95, 现价/价值=0.61, akshare东方财富扣非净利润同比=32.7%, 市值=383.3亿",-0.044242424242424305,0.030718954248365904,383.2812395011499,25.950513278907096,0.6076951091683437,1.06,1.06,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,85.3,价值线左侧确认,0.32672339933916,15.77,71.8,15.53308729,71.8,3.5529486366518706,3.6223908138483143
sh.600323,瀚蓝环境,N77生态保护和环境治理业,N77生态保护和环境治理业,VALUE,基本价值线,23.28,94.2,94.2,78.3,54.0,50.5,84.3,66.4,73.7,"Q1价值线=39.41, 现价/价值=0.59, akshare东方财富扣非净利润同比=12.8%, 市值=190.1亿",-0.035225859925403946,0.044883303411131115,190.14312881609246,39.405353979762396,0.5907826639993141,1.99,1.99,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,84.3,价值线左侧确认,0.12802326524012,23.28,30.53,22.31862912,30.53,0.311426116838488,0.36791555770966644
sh.600866,星湖科技,C14食品制造业,消费,PE,PE低估,7.7,100.0,100.0,47.5,95.5,62.0,82.6,69.1,75.9,"PE=10.97, 低估均值=19.14, 比值=0.57, 分位=4%",0.1809815950920246,0.21069182389937113,,,,,,,,10.973479,19.144063499999998,0.5732053176693652,0.04254007398273736,低估价值,价值线内/历史低位,82.6,低估价值,,7.7,5.58,7.3008166,5.58,-0.2753246753246753,-0.23570193504107473
sh.600988,赤峰黄金,B09有色金属矿采选业,资源金属,VALUE,基本价值线,27.24,75.0,50.6,88.2,100.0,97.8,81.9,72.3,54.1,"Q1价值线=30.40, 现价/价值=0.90, akshare东方财富扣非净利润同比=138.6%, 市值=449.7亿",0.24383561643835616,0.4048478597215057,449.6593124353398,30.401816046663605,0.895999106046476,1.03,1.03,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,81.9,价值线左侧确认,1.3858495658880199,27.24,36.66,27.06841524,36.66,0.3458149779735682,0.35434600344929534
sh.600741,华域汽车,C36汽车制造业,C36汽车制造业,VALUE,基本价值线,17.76,100.0,100.0,67.5,56.7,57.2,81.7,63.8,72.7,"价值线=39.73, 现价/价值=0.45, 扣非EPS=1.83, akshare东方财富扣非净利润同比=7.2%, 市值=560.1亿",-0.011686143572620877,0.08094948265368229,560.0672135905049,39.729810905549975,0.4470194948126233,1.83,1.83,1.0,年报扣非EPS,,,,,低估价值,深度低估,81.7,低估价值,,17.76,17.56,17.00464944,17.56,-0.011261261261261368,0.032658747947702294
sh.600031,三一重工,C35专用设备制造业,C35专用设备制造业,VALUE,基本价值线,19.68,75.0,38.5,78.2,91.0,82.3,78.3,83.1,80.7,"价值线=20.08, 现价/价值=0.98, 扣非EPS=0.63, akshare东方财富扣非净利润同比=78.5%, 市值=1667.0亿",0.016528925619834656,0.24478178368121428,1667.0303878037157,20.077279112041396,0.9802125024100937,0.6297,0.6297,1.0,年报扣非EPS,,,,,低估且高质量,低估且高质量,80.7,低估且高质量,,19.68,19.39,19.0307568,19.39,-0.014735772357723498,0.01887697918560982
sh.600961,株冶集团,C32有色金属冶炼和压延加工业,资源金属,VALUE,基本价值线,10.19,85.7,85.7,77.5,91.2,61.1,80.4,68.1,69.8,"Q1价值线=15.68, 现价/价值=0.65, akshare东方财富扣非净利润同比=112.9%, 市值=123.9亿",0.0692549842602308,0.20877817319098457,123.91045355524334,15.675483020479462,0.6500597134191736,0.6,0.6,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,80.4,价值线左侧确认,1.12935761807741,10.19,28.96,10.19,28.96,1.842001962708538,1.842001962708538
