code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,eps_excl,eps_excl_raw,eps_adjustment_factor,eps_excl_source,current_valuation,low_avg,pepb_ratio,valuation_percentile,selection_bucket,valuation_state,total_score,selection_mode,earnings_yoy,buy_close_raw,end_close_raw,raw_return,qfq_return
sh.600362,江西铜业,C32有色金属冶炼和压延加工业,资源金属,VALUE,基本价值线,21.79,100.0,100.0,84.9,53.1,68.8,91.6,45.1,48.8,"Q1价值线=55.72, 现价/价值=0.39, akshare东方财富扣非净利润同比=37.0%, 市值=752.5亿",-0.04680664916885391,0.03712517848643482,752.5131476183614,55.71935131218841,0.3910670079038324,2.38,2.38,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,91.6,价值线左侧确认,0.37040625232194996,,,,
sh.601600,中国铝业,C32有色金属冶炼和压延加工业,资源金属,VALUE,基本价值线,6.49,100.0,100.0,80.0,0.0,81.8,91.2,34.4,35.5,"Q1价值线=15.23, 现价/价值=0.43, akshare东方财富扣非净利润同比=57.8%, 市值=1113.3亿",-0.1300268096514745,-0.17219387755102034,1113.3095697707738,15.22629322330738,0.4262363731486234,0.698,0.698,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,91.2,价值线左侧确认,0.57824440783802,,,,
sh.600757,长江传媒,R86新闻和出版业,R86新闻和出版业,VALUE,基本价值线,9.76,100.0,100.0,83.0,66.8,48.6,88.9,73.0,79.7,"Q1价值线=20.82, 现价/价值=0.47, akshare东方财富扣非净利润同比=54.5%, 市值=118.9亿",0.0966292134831459,0.100338218714769,118.85730837065367,20.820679049769616,0.4687647303274672,0.82,0.82,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,88.9,价值线左侧确认,0.5445817036291001,,,,
sh.601677,明泰铝业,C32有色金属冶炼和压延加工业,资源金属,VALUE,基本价值线,12.12,100.0,100.0,80.4,31.4,52.3,88.4,43.1,53.9,"Q1价值线=31.38, 现价/价值=0.39, akshare东方财富扣非净利润同比=41.7%, 市值=144.8亿",-0.05312500000000009,0.006644518272425293,144.82764665092563,31.381216638304238,0.3862182954757147,1.21,1.21,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,88.4,价值线左侧确认,0.4172846952144,,,,
sh.600482,中国动力,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,VALUE,基本价值线,21.63,100.0,100.0,76.5,27.6,62.7,88.0,58.5,70.2,"Q1价值线=56.79, 现价/价值=0.38, akshare东方财富扣非净利润同比=600.4%, 市值=476.1亿",-0.013229927007299414,-0.12108898821617231,476.0921345273249,56.79080600433402,0.3808715093487015,0.56,0.56,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,88.0,价值线左侧确认,6.00411576914536,,,,
sh.601717,中创智领,C35专用设备制造业,C35专用设备制造业,VALUE,基本价值线,15.37,100.0,100.0,74.8,88.2,67.0,87.9,79.6,83.8,"Q1价值线=34.22, 现价/价值=0.45, akshare东方财富扣非净利润同比=6.9%, 市值=273.4亿",-0.009664948453608324,0.21023622047244106,273.3831762517656,34.22439389727171,0.4490948779439235,2.026,2.026,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,87.9,价值线左侧确认,0.06861366118276,,,,
sh.601137,博威合金,C32有色金属冶炼和压延加工业,资源金属,VALUE,基本价值线,18.1,96.2,96.2,83.6,46.4,56.3,87.8,41.4,46.1,"Q1价值线=31.41, 现价/价值=0.58, akshare东方财富扣非净利润同比=21.9%, 市值=141.1亿",-0.1008445106805761,-0.07227063044592519,141.07236421255297,31.409445358645232,0.5762597776983064,1.7,1.7,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,87.8,价值线左侧确认,0.21947775046718998,,,,
sh.601766,中国中车,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,VALUE,基本价值线,7.05,100.0,100.0,71.2,31.8,75.9,87.5,59.6,70.9,"Q1价值线=20.68, 现价/价值=0.34, akshare东方财富扣非净利润同比=320.2%, 市值=2043.1亿",0.017316017316017396,-0.038199181446111896,2043.102287142857,20.6812539219362,0.34088842130225977,0.35,0.35,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,87.5,价值线左侧确认,3.2019862195352,,,,
sh.601900,南方传媒,R86新闻和出版业,R86新闻和出版业,VALUE,基本价值线,17.61,91.8,91.8,89.2,84.6,50.6,86.8,82.0,84.1,"Q1价值线=29.01, 现价/价值=0.61, akshare东方财富扣非净利润同比=81.4%, 市值=154.8亿",0.10754716981132062,0.04759071980963725,154.82995907432522,29.00561281000656,0.6071238734154507,1.07,1.07,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,86.8,价值线左侧确认,0.81445737250594,,,,
sh.600487,亨通光电,C38电气机械和器材制造业,C38电气机械和器材制造业,VALUE,基本价值线,15.77,91.8,91.8,78.9,32.9,72.1,85.3,62.4,71.2,"Q1价值线=25.95, 现价/价值=0.61, akshare东方财富扣非净利润同比=32.7%, 市值=383.3亿",-0.044242424242424305,0.030718954248365904,383.2812395011499,25.950513278907096,0.6076951091683437,1.06,1.06,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,85.3,价值线左侧确认,0.32672339933916,,,,
