code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,eps_excl,eps_excl_raw,eps_adjustment_factor,eps_excl_source,current_valuation,low_avg,pepb_ratio,valuation_percentile,selection_bucket,valuation_state,total_score,selection_mode,end_quote_time,end_quote_trade_date,buy_close_raw,end_close_raw,raw_return,qfq_return,earnings_yoy,buy_close_qfq,end_close_qfq
sh.600329,达仁堂,C27医药制造业,医药医疗,PE,PE低估,45.66,100.0,100.0,100.0,97.2,70.5,96.8,94.6,95.7,"PE=10.05, 低估均值=21.26, 比值=0.47, 分位=0%",0.1082524271844658,0.3177489177489176,,,,,,,,10.048619,21.2637476,0.4725704607216086,0.0020399836801305,低估且高质量,低估且高质量,95.7,低估且高质量,2026-05-19 16:11:33,2026-05-19,45.66,42.5,-0.0692071835304423,-0.01785784525384937,,43.27275822,42.5
sz.300274,阳光电源,C38电气机械和器材制造业,C38电气机械和器材制造业,VALUE,基本价值线,99.2,75.0,36.5,100.0,100.0,100.0,87.5,98.8,93.1,"价值线=99.73, 现价/价值=0.99, 扣非EPS=5.16, akshare东方财富扣非净利润同比=53.5%, 市值=2055.7亿",0.3445378151260505,0.5748531512938562,2055.656923447504,99.73093926149406,0.994676283353735,5.16,5.16,1.0,年报扣非EPS,,,,,低估且高质量,低估且高质量,93.1,低估且高质量,2026-05-19 15:34:57,2026-05-19,99.2,152.25,0.5347782258064515,0.5522142484593959,,98.0856864,152.25
sh.603296,华勤技术,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,96.11,0.0,0.0,98.8,100.0,84.0,48.0,92.1,70.1,"价值线=57.55, 现价/价值=1.67, 扣非EPS=2.32, akshare东方财富扣非净利润同比=47.9%, 市值=971.6亿",0.1970357454228422,0.3326400443704935,971.59784426648,57.55031856944852,1.6700168198725052,2.32,2.32,1.0,年报扣非EPS,,,,,高质量趋势,估值有约束的高质量,92.1,高质量趋势,2026-05-19 16:11:44,2026-05-19,96.11,112.32,0.1686609093746747,0.1686609093746747,,96.11,112.32
sz.000719,中原传媒,R86新闻和出版业,R86新闻和出版业,VALUE,基本价值线,12.52,100.0,100.0,93.0,49.0,40.9,91.6,70.1,78.5,"Q1价值线=30.05, 现价/价值=0.42, akshare东方财富扣非净利润同比=54.8%, 市值=128.3亿",-0.0450038138825323,-0.0471841704718417,128.27050621507868,30.04850289127609,0.4166596933398269,1.22,1.22,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,91.6,价值线左侧确认,2026-05-19 15:34:33,2026-05-19,12.52,13.85,0.10623003194888181,0.10623003194888181,0.54823629449468,12.52,13.85
sh.603508,思维列控,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,VALUE,基本价值线,37.16,55.0,24.6,98.5,100.0,61.6,73.2,91.3,82.3,"价值线=34.48, 现价/价值=1.08, 扣非EPS=1.44, akshare东方财富扣非净利润同比=56.5%, 市值=141.6亿",0.2448911222780567,0.3357296908698777,141.56176301419998,34.47868204199274,1.077767414506784,1.44,1.44,1.0,年报扣非EPS,,,,,高质量趋势,估值有约束的高质量,91.3,高质量趋势,2026-05-19 16:11:45,2026-05-19,37.16,25.39,-0.3167384284176533,-0.27489401206595554,,35.01557072,25.39
sh.688578,艾力斯,C27医药制造业,医药医疗,PE,PE低估,116.98,27.0,27.0,100.0,95.9,74.2,56.9,91.1,74.0,"PE=28.85, 低估均值=23.19, 比值=1.24, 分位=32%",0.1855680551332725,0.2185416666666666,,,,,,,,28.845244,23.185918,1.244084620673635,0.3200468933177022,高质量趋势,估值有约束的高质量,91.1,高质量趋势,2026-05-19 16:11:43,2026-05-19,116.98,89.95,-0.23106513934005812,-0.22838919306159577,,116.57431336,89.95
sz.002938,鹏鼎控股,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,58.49,0.0,0.0,92.5,100.0,94.0,47.1,90.7,68.9,"价值线=36.56, 现价/价值=1.60, 扣非EPS=1.52, akshare东方财富扣非净利润同比=51.9%, 市值=1358.9亿",0.1789961701269906,0.9509673115410272,1358.882560311937,36.56239752869812,1.599730979186765,1.52,1.52,1.0,年报扣非EPS,,,,,高质量趋势,估值有约束的高质量,90.7,高质量趋势,2026-05-19 15:34:27,2026-05-19,58.49,89.23,0.5255599247734655,0.5255599247734655,,58.49,89.23
sh.603979,金诚信,B11开采专业及辅助性活动,资源金属,VALUE,基本价值线,69.05,16.9,16.9,100.0,100.0,64.0,54.8,90.4,72.6,"价值线=61.01, 现价/价值=1.13, 扣非EPS=2.54, akshare东方财富扣非净利润同比=78.5%, 市值=426.9亿",0.4287192220153113,0.6915727584517393,426.8789484199881,61.00687218202494,1.1318397015007906,2.54,2.54,1.0,年报扣非EPS,,,,,高质量趋势,估值有约束的高质量,90.4,高质量趋势,2026-05-19 16:11:56,2026-05-19,69.05,63.2,-0.08472121650977549,-0.08472121650977549,,69.05,63.2
sz.300724,捷佳伟创,C35专用设备制造业,C35专用设备制造业,VALUE,基本价值线,108.12,85.0,69.0,95.6,85.0,94.8,89.1,91.2,90.2,"价值线=140.92, 现价/价值=0.77, 扣非EPS=7.37, akshare东方财富扣非净利润同比=42.4%, 市值=376.4亿",0.5669565217391306,1.0512236767216847,376.43789210396096,140.9223386273528,0.767231093758006,7.37,7.37,1.0,年报扣非EPS,,,,,低估且高质量,深度低估且高质量,90.2,低估且高质量,2026-05-19 15:34:15,2026-05-19,108.12,88.44,-0.18201997780244183,-0.18201997780244183,,108.12,88.44
sz.300750,宁德时代,C38电气机械和器材制造业,C38电气机械和器材制造业,VALUE,基本价值线,304.0,0.0,0.0,91.6,95.4,100.0,47.0,89.6,68.3,"价值线=203.83, 现价/价值=1.49, 扣非EPS=10.26, akshare东方财富扣非净利润同比=35.6%, 市值=13331.2亿",0.1407985589912939,0.2378858213209544,13331.235259259258,203.83361134863475,1.4914125201856026,10.26,10.26,1.0,年报扣非EPS,,,,,高质量趋势,估值有约束的高质量,89.6,高质量趋势,2026-05-19 15:34:33,2026-05-19,304.0,417.23,0.37246710526315785,0.3939874840417952,,299.306848,417.23
